"t0","order_of_test","time_start_battery","order_in_test","word_pool","word","endcoding","recall_session","remember","confidence","correct","ID","time","t0_absolute","Woman","SD"
1424431527300,2,304606,1,1,13,"Dummy",1,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,304606,1,1,14,"Dummy",1,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,304606,1,1,15,"Encoded",1,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,304606,1,1,16,"Dummy",1,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,304606,1,1,17,"Dummy",1,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,304606,1,1,18,"Dummy",1,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,304606,1,1,19,"Encoded",1,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,304606,1,1,20,"Encoded",1,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,304606,1,1,21,"Dummy",1,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,304606,1,1,22,"Dummy",1,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,304606,1,1,23,"Encoded",1,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,304606,1,1,24,"Dummy",1,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,1,"Dummy",2,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,2,"Encoded",2,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,3,"Encoded",2,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,4,"Encoded",2,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,5,"Encoded",2,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,6,"Encoded",2,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,7,"Dummy",2,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,8,"Encoded",2,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,9,"Dummy",2,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,10,"Encoded",2,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,11,"Dummy",2,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,12,"Encoded",2,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,13,"Dummy",2,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,14,"Dummy",2,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,15,"Dummy",2,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,16,"Dummy",2,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,17,"Dummy",2,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,18,"Dummy",2,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,19,"Encoded",2,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,20,"Encoded",2,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,21,"Dummy",2,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,22,"Encoded",2,1,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,23,"Dummy",2,0,NA,1,"102",2,NA,1,"Control"
1424431527300,2,350571,2,1,24,"Encoded",2,1,NA,1,"102",2,NA,1,"Control"
1424446854980,2,298876,1,1,1,"Dummy",1,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,2,"Encoded",1,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,3,"Encoded",1,1,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,4,"Dummy",1,0,NA,1,"102",3,NA,1,"Control"
1424446854980,2,298876,1,1,5,"Encoded",1,1,NA,1,"102",3,NA,1,"Control"
