id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
SI_258,2016-03-01,15:15:14,,,1,7359,1,yellow,yellow,yellow,1711,1,1,
SI_258,2016-03-01,15:15:16,,,1,8304,2,red,red,red,944,1,1,1
SI_258,2016-03-01,15:15:17,,,1,9337,3,blue,yellow,blue,1032,1,0,2
SI_258,2016-03-01,15:15:18,,,1,10372,4,red,red,red,1033,1,1,3
SI_258,2016-03-01,15:15:19,,,1,11255,5,green,green,green,882,1,1,1
SI_258,2016-03-01,15:15:19,,,1,13287,6,red,yellow,red,2031,1,0,2
SI_258,2016-03-01,15:15:21,,,1,14388,7,blue,red,blue,1099,1,0,4
SI_258,2016-03-01,15:15:23,,,1,15293,8,green,yellow,green,904,1,0,4
SI_258,2016-03-01,15:15:24,,,1,16205,9,red,red,red,911,1,1,3
SI_258,2016-03-01,15:15:24,,,1,17288,10,blue,blue,blue,1081,1,1,1
SI_258,2016-03-01,15:15:25,,,1,18512,11,green,yellow,green,1224,1,0,2
SI_258,2016-03-01,15:15:27,,,1,19602,12,red,blue,red,1089,1,0,4
SI_258,2016-03-01,15:15:28,,,1,20509,13,yellow,yellow,yellow,907,1,1,3
SI_258,2016-03-01,15:15:29,,,1,21322,14,green,green,green,812,1,1,1
SI_258,2016-03-01,15:15:30,,,1,22193,15,blue,yellow,blue,871,1,0,2
SI_258,2016-03-01,15:15:30,,,1,23077,16,green,blue,green,881,1,0,4
SI_258,2016-03-01,15:15:31,,,1,23837,17,blue,red,blue,759,1,0,4
SI_258,2016-03-01,15:15:32,,,1,24828,18,green,yellow,green,990,1,0,4
SI_258,2016-03-01,15:15:33,,,1,25696,19,yellow,blue,yellow,866,1,0,4
SI_258,2016-03-01,15:15:34,,,1,26535,20,green,green,green,837,1,1,3
SI_258,2016-03-01,15:15:35,,,1,27473,21,blue,blue,red,937,0,1,1
SI_258,2016-03-01,15:15:36,,,1,30287,22,green,yellow,green,2810,1,0,2
SI_258,2016-03-01,15:15:38,,,1,32914,23,yellow,blue,yellow,2626,1,0,4
SI_258,2016-03-01,15:15:41,,,1,33689,24,green,green,green,772,1,1,3
SI_258,2016-03-01,15:15:42,,,1,34797,25,red,blue,red,1106,1,0,2
SI_258,2016-03-01,15:15:43,,,1,35730,26,green,green,green,932,1,1,3
SI_258,2016-03-01,15:15:44,,,1,36947,27,blue,blue,blue,1216,1,1,1
SI_258,2016-03-01,15:15:45,,,1,37855,28,yellow,green,yellow,906,1,0,2
SI_258,2016-03-01,15:15:46,,,1,39480,29,red,blue,red,1623,1,0,4
SI_258,2016-03-01,15:15:48,,,1,40628,30,yellow,yellow,yellow,1146,1,1,3
SI_258,2016-03-01,15:15:49,,,1,41448,31,green,green,green,819,1,1,1
SI_258,2016-03-01,15:15:50,,,1,42563,32,blue,red,blue,1115,1,0,2
SI_258,2016-03-01,15:15:51,,,1,43582,33,green,blue,green,1018,1,0,4
SI_258,2016-03-01,15:15:52,,,1,44914,34,red,red,red,1331,1,1,3
SI_258,2016-03-01,15:15:53,,,1,46197,35,blue,blue,blue,1282,1,1,1
SI_258,2016-03-01,15:15:54,,,1,47354,36,green,yellow,yellow,1157,0,0,2
SI_258,2016-03-01,15:15:56,,,1,48933,37,red,red,red,1577,1,1,3
SI_258,2016-03-01,15:15:57,,,1,50496,38,green,yellow,green,1562,1,0,2
SI_258,2016-03-01,15:15:59,,,1,51564,39,red,red,red,1067,1,1,3
SI_258,2016-03-01,15:16:00,,,1,52539,40,blue,blue,blue,974,1,1,1
SI_258,2016-03-01,15:16:01,,,1,53472,41,yellow,red,yellow,931,1,0,2
SI_258,2016-03-01,15:16:02,,,1,54698,42,red,yellow,red,1225,1,0,4
SI_258,2016-03-01,15:16:03,,,1,56064,43,yellow,blue,yellow,1364,1,0,4
SI_258,2016-03-01,15:16:04,,,1,57039,44,blue,red,blue,974,1,0,4
SI_258,2016-03-01,15:16:05,,,1,58270,45,yellow,blue,yellow,1230,1,0,4
SI_258,2016-03-01,15:16:06,,,1,59854,46,green,yellow,green,1582,1,0,4
SI_258,2016-03-01,15:16:08,,,1,61748,47,blue,green,blue,1893,1,0,4
SI_258,2016-03-01,15:16:10,,,1,62630,48,red,red,red,882,1,1,3
SI_258,2016-03-01,15:16:11,,,1,63548,49,yellow,yellow,yellow,917,1,1,1
SI_258,2016-03-01,15:16:12,,,1,64965,50,red,blue,red,1416,1,0,2
SI_258,2016-03-01,15:16:13,,,1,66548,51,yellow,green,yellow,1583,1,0,4
SI_258,2016-03-01,15:16:15,,,1,67499,52,green,yellow,green,950,1,0,4
SI_258,2016-03-01,15:16:16,,,1,68456,53,yellow,red,yellow,956,1,0,4
SI_258,2016-03-01,15:16:17,,,1,69216,54,green,yellow,green,758,1,0,4
SI_258,2016-03-01,15:16:17,,,1,70015,55,blue,blue,blue,799,1,1,3
SI_258,2016-03-01,15:16:18,,,1,70665,56,green,green,green,649,1,1,1
SI_258,2016-03-01,15:16:19,,,1,71914,57,red,blue,red,1248,1,0,2
SI_258,2016-03-01,15:16:20,,,1,72899,58,yellow,yellow,yellow,985,1,1,3
SI_258,2016-03-01,15:16:21,,,1,74048,59,red,blue,red,1148,1,0,2
SI_258,2016-03-01,15:16:22,,,1,75249,60,green,yellow,green,1200,1,0,4
SI_258,2016-03-01,15:16:23,,,1,76483,61,yellow,red,yellow,1234,1,0,4
SI_258,2016-03-01,15:16:25,,,1,77631,62,green,blue,green,1147,1,0,4
SI_258,2016-03-01,15:16:26,,,1,78674,63,blue,yellow,blue,1042,1,0,4
SI_258,2016-03-01,15:16:27,,,1,79550,64,red,red,red,874,1,1,3
SI_258,2016-03-01,15:16:28,,,1,80850,65,yellow,yellow,yellow,1300,1,1,1
SI_258,2016-03-01,15:16:29,,,1,81850,66,green,blue,green,1000,1,0,2
SI_258,2016-03-01,15:16:30,,,1,82703,67,yellow,yellow,yellow,852,1,1,3
SI_258,2016-03-01,15:16:31,,,1,83600,68,red,red,red,897,1,1,1
SI_258,2016-03-01,15:16:32,,,1,85008,69,yellow,blue,yellow,1407,1,0,2
SI_258,2016-03-01,15:16:33,,,1,85866,70,blue,yellow,blue,857,1,0,4
SI_258,2016-03-01,15:16:34,,,1,87416,71,green,green,green,1550,1,1,3
SI_258,2016-03-01,15:16:36,,,1,88225,72,blue,blue,blue,808,1,1,1
SI_258,2016-03-01,15:16:36,,,1,89266,73,yellow,red,yellow,1040,1,0,2
SI_258,2016-03-01,15:16:37,,,1,89916,74,red,yellow,red,649,1,0,4
SI_258,2016-03-01,15:16:38,,,1,91618,75,blue,blue,blue,1701,1,1,3
SI_258,2016-03-01,15:16:40,,,1,92587,76,green,green,green,969,1,1,1
SI_258,2016-03-01,15:16:41,,,1,93740,77,yellow,blue,yellow,1153,1,0,2
