id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
SI_289,2016-04-11,14:55:08,,,5,556739,1,yellow,green,yellow,2769,1,0,
SI_289,2016-04-11,14:55:11,,,5,557647,2,blue,blue,blue,901,1,1,3
SI_289,2016-04-11,14:55:12,,,5,558598,3,yellow,yellow,yellow,948,1,1,1
SI_289,2016-04-11,14:55:13,,,5,560077,4,green,blue,green,1476,1,0,2
SI_289,2016-04-11,14:55:14,,,5,561126,5,red,red,red,1046,1,1,3
SI_289,2016-04-11,14:55:15,,,5,562483,6,green,blue,green,1356,1,0,2
SI_289,2016-04-11,14:55:16,,,5,563442,7,yellow,yellow,yellow,955,1,1,3
SI_289,2016-04-11,14:55:17,,,5,564439,8,blue,blue,blue,993,1,1,1
SI_289,2016-04-11,14:55:18,,,5,565637,9,yellow,green,yellow,1197,1,0,2
SI_289,2016-04-11,14:55:20,,,5,566592,10,blue,blue,blue,951,1,1,3
SI_289,2016-04-11,14:55:21,,,5,567591,11,green,yellow,green,995,1,0,2
SI_289,2016-04-11,14:55:22,,,5,569036,12,blue,blue,blue,1443,1,1,3
SI_289,2016-04-11,14:55:23,,,5,570254,13,green,green,green,1213,1,1,1
SI_289,2016-04-11,14:55:24,,,5,571958,14,yellow,red,yellow,1703,1,0,2
SI_289,2016-04-11,14:55:26,,,5,573018,15,green,green,green,1058,1,1,3
SI_289,2016-04-11,14:55:27,,,5,574250,16,blue,blue,blue,1228,1,1,1
SI_289,2016-04-11,14:55:28,,,5,575452,17,green,yellow,green,1200,1,0,2
SI_289,2016-04-11,14:55:29,,,5,576632,18,yellow,green,yellow,1176,1,0,4
SI_289,2016-04-11,14:55:31,,,5,577865,19,blue,blue,blue,1229,1,1,3
SI_289,2016-04-11,14:55:32,,,5,579181,20,red,red,red,1312,1,1,1
SI_289,2016-04-11,14:55:33,,,5,580574,21,yellow,green,green,1391,0,0,2
SI_289,2016-04-11,14:55:35,,,5,582357,22,blue,yellow,blue,1782,1,0,4
SI_289,2016-04-11,14:55:36,,,5,583853,23,green,green,green,1491,1,1,3
SI_289,2016-04-11,14:55:38,,,5,584830,24,yellow,yellow,yellow,973,1,1,1
SI_289,2016-04-11,14:55:39,,,5,586177,25,blue,red,blue,1345,1,0,2
SI_289,2016-04-11,14:55:40,,,5,587418,26,yellow,blue,yellow,1238,1,0,4
SI_289,2016-04-11,14:55:41,,,5,588571,27,blue,green,green,1152,0,0,4
SI_289,2016-04-11,14:55:43,,,5,591010,28,green,blue,green,2436,1,0,4
SI_289,2016-04-11,14:55:45,,,5,593372,29,blue,red,blue,2356,1,0,4
SI_289,2016-04-11,14:55:47,,,5,594625,30,yellow,yellow,yellow,1250,1,1,3
SI_289,2016-04-11,14:55:49,,,5,596155,31,red,red,red,1526,1,1,1
SI_289,2016-04-11,14:55:50,,,5,597753,32,yellow,blue,yellow,1595,1,0,2
SI_289,2016-04-11,14:55:52,,,5,599970,33,red,yellow,red,2214,1,0,4
SI_289,2016-04-11,14:55:54,,,5,601218,34,blue,blue,blue,1242,1,1,3
SI_289,2016-04-11,14:55:55,,,5,602186,35,green,green,green,966,1,1,1
SI_289,2016-04-11,14:55:56,,,5,603920,36,yellow,blue,yellow,1731,1,0,2
SI_289,2016-04-11,14:55:58,,,5,605947,37,green,green,yellow,2024,0,1,3
SI_289,2016-04-11,14:56:00,,,5,606330,38,blue,red,green,379,0,0,2
SI_289,2016-04-11,14:56:00,,,5,608546,39,red,blue,red,2213,1,0,4
SI_289,2016-04-11,14:56:03,,,5,609695,40,blue,yellow,blue,1146,1,0,4
SI_289,2016-04-11,14:56:04,,,5,611666,41,yellow,red,yellow,1967,1,0,4
SI_289,2016-04-11,14:56:06,,,5,613204,42,blue,blue,blue,1535,1,1,3
SI_289,2016-04-11,14:56:07,,,5,614188,43,green,green,green,980,1,1,1
SI_289,2016-04-11,14:56:08,,,5,616054,44,red,blue,red,1861,1,0,2
SI_289,2016-04-11,14:56:10,,,5,617201,45,yellow,yellow,yellow,1144,1,1,3
SI_289,2016-04-11,14:56:11,,,5,618735,46,green,green,green,1530,1,1,1
SI_289,2016-04-11,14:56:13,,,5,620909,47,red,yellow,red,2170,1,0,2
SI_289,2016-04-11,14:56:15,,,5,622672,48,green,green,green,1759,1,1,3
SI_289,2016-04-11,14:56:17,,,5,624347,49,yellow,yellow,yellow,1673,1,1,1
SI_289,2016-04-11,14:56:18,,,5,625402,50,green,blue,green,1052,1,0,2
SI_289,2016-04-11,14:56:19,,,5,626985,51,yellow,green,yellow,1580,1,0,4
SI_289,2016-04-11,14:56:21,,,5,628588,52,red,yellow,red,1600,1,0,4
SI_289,2016-04-11,14:56:23,,,5,629581,53,blue,blue,blue,990,1,1,3
SI_289,2016-04-11,14:56:24,,,5,631559,54,green,green,green,1974,1,1,1
SI_289,2016-04-11,14:56:26,,,5,633509,55,blue,red,blue,1947,1,0,2
SI_289,2016-04-11,14:56:27,,,5,635022,56,red,blue,red,1509,1,0,4
SI_289,2016-04-11,14:56:29,,,5,636215,57,green,green,green,1190,1,1,3
SI_289,2016-04-11,14:56:30,,,5,637269,58,yellow,red,yellow,1050,1,0,2
SI_289,2016-04-11,14:56:31,,,5,638694,59,green,blue,green,1424,1,0,4
SI_289,2016-04-11,14:56:33,,,5,639810,60,yellow,yellow,yellow,1114,1,1,3
SI_289,2016-04-11,14:56:34,,,5,641026,61,red,blue,red,1215,1,0,2
SI_289,2016-04-11,14:56:35,,,5,642495,62,green,green,green,1467,1,1,3
SI_289,2016-04-11,14:56:36,,,5,643277,63,blue,blue,blue,780,1,1,1
SI_289,2016-04-11,14:56:37,,,5,645306,64,green,yellow,green,2027,1,0,2
SI_289,2016-04-11,14:56:39,,,5,646830,65,red,red,red,1522,1,1,3
SI_289,2016-04-11,14:56:41,,,5,647796,66,blue,blue,blue,960,1,1,1
SI_289,2016-04-11,14:56:42,,,5,649112,67,red,yellow,yellow,1311,0,0,2
SI_289,2016-04-11,14:56:43,,,5,650682,68,blue,green,blue,1566,1,0,4
SI_289,2016-04-11,14:56:45,,,5,653967,69,green,blue,green,3281,1,0,4
SI_289,2016-04-11,14:56:48,,,5,656040,70,blue,green,blue,2070,1,0,4
SI_289,2016-04-11,14:56:50,,,5,657316,71,yellow,yellow,yellow,1275,1,1,3
SI_289,2016-04-11,14:56:51,,,5,658799,72,blue,blue,blue,1480,1,1,1
SI_289,2016-04-11,14:56:53,,,5,660009,73,red,yellow,red,1205,1,0,2
SI_289,2016-04-11,14:56:54,,,5,661407,74,green,green,green,1396,1,1,3
SI_289,2016-04-11,14:56:55,,,5,663099,75,red,blue,blue,1689,0,0,2
SI_289,2016-04-11,14:56:57,,,5,665031,76,yellow,red,yellow,1929,1,0,4
SI_289,2016-04-11,14:56:59,,,5,666851,77,blue,yellow,blue,1818,1,0,4
SI_289,2016-04-11,14:57:01,,,5,668844,78,red,red,red,1990,1,1,3
SI_289,2016-04-11,14:57:03,,,5,670134,79,green,green,green,1286,1,1,1
SI_289,2016-04-11,14:57:04,,,5,673968,80,blue,yellow,,3831,0,0,2
