id,date,time,t0,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
SI_205,2016-02-11,22:16:19,1455225379832,3,286597,1,red,red,red,2644,1,1,
SI_205,2016-02-11,22:16:22,1455225379832,3,289187,2,yellow,yellow,yellow,2581,1,1,1
SI_205,2016-02-11,22:16:25,1455225379832,3,290937,3,green,blue,green,1741,1,0,2
SI_205,2016-02-11,22:16:26,1455225379832,3,292521,4,blue,red,blue,1570,1,0,4
SI_205,2016-02-11,22:16:28,1455225379832,3,294525,5,red,yellow,red,1984,1,0,4
SI_205,2016-02-11,22:16:30,1455225379832,3,296261,6,green,green,green,1721,1,1,3
SI_205,2016-02-11,22:16:32,1455225379832,3,298981,7,yellow,red,yellow,2716,1,0,2
SI_205,2016-02-11,22:16:34,1455225379832,3,301327,8,green,yellow,green,2334,1,0,4
SI_205,2016-02-11,22:16:37,1455225379832,3,303717,9,blue,blue,blue,2373,1,1,3
SI_205,2016-02-11,22:16:39,1455225379832,3,305125,10,red,red,red,1396,1,1,1
SI_205,2016-02-11,22:16:41,1455225379832,3,307175,11,blue,green,blue,2032,1,0,2
SI_205,2016-02-11,22:16:43,1455225379832,3,309164,12,yellow,blue,yellow,1974,1,0,4
SI_205,2016-02-11,22:16:45,1455225379832,3,311528,13,blue,yellow,blue,2339,1,0,4
SI_205,2016-02-11,22:16:47,1455225379832,3,313435,14,red,red,red,1890,1,1,3
SI_205,2016-02-11,22:16:49,1455225379832,3,315198,15,yellow,yellow,yellow,1758,1,1,1
SI_205,2016-02-11,22:16:51,1455225379832,3,316878,16,blue,green,blue,1660,1,0,2
SI_205,2016-02-11,22:16:52,1455225379832,3,319288,17,yellow,yellow,yellow,2402,1,1,3
SI_205,2016-02-11,22:16:55,1455225379832,3,321405,18,blue,blue,blue,2109,1,1,1
SI_205,2016-02-11,22:16:57,1455225379832,3,323170,19,red,yellow,red,1733,1,0,2
SI_205,2016-02-11,22:16:59,1455225379832,3,326196,20,yellow,blue,yellow,3022,1,0,4
SI_205,2016-02-11,22:17:02,1455225379832,3,327565,21,red,red,red,1354,1,1,3
SI_205,2016-02-11,22:17:03,1455225379832,3,329077,22,green,blue,green,1508,1,0,2
SI_205,2016-02-11,22:17:04,1455225379832,3,330703,23,red,red,red,1617,1,1,3
SI_205,2016-02-11,22:17:06,1455225379832,3,333264,24,yellow,blue,yellow,2545,1,0,2
SI_205,2016-02-11,22:17:09,1455225379832,3,335004,25,blue,yellow,blue,1736,1,0,4
SI_205,2016-02-11,22:17:10,1455225379832,3,336912,26,green,green,green,1905,1,1,3
SI_205,2016-02-11,22:17:12,1455225379832,3,338926,27,yellow,yellow,yellow,2011,1,1,1
SI_205,2016-02-11,22:17:14,1455225379832,3,341193,28,blue,red,blue,2256,1,0,2
SI_205,2016-02-11,22:17:17,1455225379832,3,343264,29,yellow,yellow,yellow,2068,1,1,3
SI_205,2016-02-11,22:17:19,1455225379832,3,344897,30,blue,green,blue,1622,1,0,2
SI_205,2016-02-11,22:17:20,1455225379832,3,346250,31,red,red,red,1344,1,1,3
SI_205,2016-02-11,22:17:22,1455225379832,3,347909,32,green,blue,green,1655,1,0,2
SI_205,2016-02-11,22:17:23,1455225379832,3,349411,33,red,yellow,blue,1490,0,0,4
SI_205,2016-02-11,22:17:25,1455225379832,3,350908,34,blue,blue,blue,1489,1,1,3
SI_205,2016-02-11,22:17:26,1455225379832,3,353007,35,yellow,yellow,yellow,2071,1,1,1
SI_205,2016-02-11,22:17:28,1455225379832,3,354616,36,blue,red,blue,1589,1,0,2
SI_205,2016-02-11,22:17:30,1455225379832,3,356266,37,red,yellow,red,1633,1,0,4
SI_205,2016-02-11,22:17:32,1455225379832,3,359546,38,blue,green,blue,3267,1,0,4
SI_205,2016-02-11,22:17:35,1455225379832,3,362819,39,green,yellow,green,3269,1,0,4
SI_205,2016-02-11,22:17:38,1455225379832,3,364339,40,blue,blue,blue,1494,1,1,3
SI_205,2016-02-11,22:17:40,1455225379832,3,365677,41,red,red,red,1334,1,1,1
SI_205,2016-02-11,22:17:41,1455225379832,3,367564,42,blue,green,blue,1875,1,0,2
SI_205,2016-02-11,22:17:43,1455225379832,3,369663,43,red,yellow,red,2085,1,0,4
SI_205,2016-02-11,22:17:45,1455225379832,3,371363,44,blue,green,blue,1694,1,0,4
SI_205,2016-02-11,22:17:47,1455225379832,3,372819,45,red,red,red,1448,1,1,3
SI_205,2016-02-11,22:17:48,1455225379832,3,375291,46,yellow,blue,yellow,2450,1,0,2
SI_205,2016-02-11,22:17:51,1455225379832,3,378228,47,green,green,green,2933,1,1,3
SI_205,2016-02-11,22:17:54,1455225379832,3,379948,48,red,red,red,1711,1,1,1
SI_205,2016-02-11,22:17:55,1455225379832,3,381613,49,blue,green,blue,1649,1,0,2
SI_205,2016-02-11,22:17:57,1455225379832,3,383093,50,red,red,red,1469,1,1,3
SI_205,2016-02-11,22:17:58,1455225379832,3,384400,51,yellow,yellow,blue,1303,0,1,1
SI_205,2016-02-11,22:18:00,1455225379832,3,386025,52,red,blue,red,1616,1,0,2
SI_205,2016-02-11,22:18:01,1455225379832,3,387572,53,green,green,green,1533,1,1,3
SI_205,2016-02-11,22:18:03,1455225379832,3,389691,54,blue,blue,blue,2106,1,1,1
SI_205,2016-02-11,22:18:05,1455225379832,3,392917,55,yellow,green,yellow,3213,1,0,2
SI_205,2016-02-11,22:18:08,1455225379832,3,394144,56,red,red,red,1222,1,1,3
SI_205,2016-02-11,22:18:10,1455225379832,3,395710,57,yellow,green,yellow,1555,1,0,2
SI_205,2016-02-11,22:18:11,1455225379832,3,397422,58,blue,blue,blue,1702,1,1,3
SI_205,2016-02-11,22:18:13,1455225379832,3,398873,59,yellow,yellow,yellow,1430,1,1,1
SI_205,2016-02-11,22:18:14,1455225379832,3,400653,60,red,blue,red,1760,1,0,2
SI_205,2016-02-11,22:18:16,1455225379832,3,402795,61,blue,green,blue,2139,1,0,4
SI_205,2016-02-11,22:18:18,1455225379832,3,403945,62,yellow,red,,1139,0,0,4
