id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
SI_244,2016-03-04,15:04:11,,,1,7171,1,yellow,blue,yellow,1467,1,0,
SI_244,2016-03-04,15:04:12,,,1,8046,2,green,green,green,870,1,1,3
SI_244,2016-03-04,15:04:13,,,1,8829,3,blue,blue,blue,779,1,1,1
SI_244,2016-03-04,15:04:14,,,1,10051,4,yellow,red,yellow,1220,1,0,2
SI_244,2016-03-04,15:04:15,,,1,10880,5,green,yellow,green,823,1,0,4
SI_244,2016-03-04,15:04:16,,,1,11913,6,blue,blue,blue,1031,1,1,3
SI_244,2016-03-04,15:04:17,,,1,12677,7,yellow,yellow,yellow,760,1,1,1
SI_244,2016-03-04,15:04:18,,,1,13573,8,red,blue,red,892,1,0,2
SI_244,2016-03-04,15:04:18,,,1,14396,9,green,green,green,820,1,1,3
SI_244,2016-03-04,15:04:19,,,1,15395,10,blue,yellow,blue,996,1,0,2
SI_244,2016-03-04,15:04:20,,,1,16399,11,red,blue,red,1002,1,0,4
SI_244,2016-03-04,15:04:21,,,1,17325,12,blue,yellow,blue,922,1,0,4
SI_244,2016-03-04,15:04:22,,,1,18152,13,green,green,green,825,1,1,3
SI_244,2016-03-04,15:04:23,,,1,19111,14,blue,blue,blue,956,1,1,1
SI_244,2016-03-04,15:04:24,,,1,20051,15,yellow,green,yellow,935,1,0,2
SI_244,2016-03-04,15:04:25,,,1,20888,16,blue,red,blue,833,1,0,4
SI_244,2016-03-04,15:04:26,,,1,21687,17,yellow,blue,yellow,796,1,0,4
SI_244,2016-03-04,15:04:27,,,1,22516,18,red,yellow,red,823,1,0,4
SI_244,2016-03-04,15:04:27,,,1,23224,19,green,green,green,701,1,1,3
SI_244,2016-03-04,15:04:28,,,1,24037,20,yellow,yellow,yellow,811,1,1,1
SI_244,2016-03-04,15:04:29,,,1,24756,21,blue,green,blue,716,1,0,2
SI_244,2016-03-04,15:04:30,,,1,25746,22,red,blue,red,985,1,0,4
