id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
Sl_305,2016-05-22,15:02:26,,,1,53986,71,yellow,red,yellow,784,1,0,4
Sl_305,2016-05-22,15:02:27,,,1,54725,72,blue,blue,blue,738,1,1,3
Sl_305,2016-05-22,15:02:27,,,1,55747,73,red,yellow,red,1020,1,0,2
Sl_305,2016-05-22,15:02:28,,,1,56348,74,green,blue,green,600,1,0,4
Sl_305,2016-05-22,15:02:29,,,1,56918,75,yellow,yellow,yellow,570,1,1,3
Sl_305,2016-05-22,15:02:29,,,1,57679,76,red,red,red,760,1,1,1
Sl_305,2016-05-22,15:02:30,,,1,58313,77,yellow,green,yellow,633,1,0,2
Sl_305,2016-05-22,15:02:31,,,1,59007,78,blue,blue,blue,693,1,1,3
Sl_305,2016-05-22,15:02:32,,,1,59596,79,green,green,green,587,1,1,1
Sl_305,2016-05-22,15:02:32,,,1,60763,80,blue,red,blue,1167,1,0,2
Sl_305,2016-05-22,15:02:33,,,1,61379,81,green,green,green,615,1,1,3
Sl_305,2016-05-22,15:02:34,,,1,62029,82,blue,yellow,blue,649,1,0,2
Sl_305,2016-05-22,15:02:35,,,1,62564,83,green,green,green,534,1,1,3
Sl_305,2016-05-22,15:02:35,,,1,63180,84,blue,blue,blue,614,1,1,1
Sl_305,2016-05-22,15:02:36,,,1,63945,85,red,yellow,red,765,1,0,2
Sl_305,2016-05-22,15:02:36,,,1,64614,86,green,green,green,668,1,1,3
Sl_305,2016-05-22,15:02:37,,,1,65487,87,red,yellow,red,872,1,0,2
Sl_305,2016-05-22,15:02:38,,,1,66496,88,yellow,green,yellow,1009,1,0,4
Sl_305,2016-05-22,15:02:39,,,1,67133,89,blue,blue,blue,636,1,1,3
Sl_305,2016-05-22,15:02:40,,,1,67896,90,yellow,yellow,yellow,762,1,1,1
Sl_305,2016-05-22,15:02:40,,,1,68669,91,green,blue,green,772,1,0,2
Sl_305,2016-05-22,15:02:41,,,1,69418,92,blue,green,blue,748,1,0,4
Sl_305,2016-05-22,15:02:42,,,1,70563,93,yellow,blue,yellow,1144,1,0,4
Sl_305,2016-05-22,15:02:43,,,1,71196,94,red,yellow,red,632,1,0,4
Sl_305,2016-05-22,15:02:44,,,1,71830,95,green,green,green,633,1,1,3
Sl_305,2016-05-22,15:02:44,,,1,72530,96,yellow,yellow,yellow,700,1,1,1
Sl_305,2016-05-22,15:02:45,,,1,73247,97,blue,green,blue,716,1,0,2
Sl_305,2016-05-22,15:02:46,,,1,73803,98,green,blue,green,556,1,0,4
Sl_305,2016-05-22,15:02:46,,,1,74467,99,yellow,yellow,yellow,652,1,1,3
Sl_305,2016-05-22,15:02:47,,,1,75317,100,blue,red,blue,849,1,0,2
Sl_305,2016-05-22,15:02:48,,,1,76113,101,yellow,yellow,yellow,795,1,1,3
Sl_305,2016-05-22,15:02:49,,,1,76666,102,blue,red,blue,553,1,0,2
Sl_305,2016-05-22,15:02:49,,,1,77229,103,green,blue,green,562,1,0,4
Sl_305,2016-05-22,15:02:50,,,1,78046,104,yellow,yellow,yellow,816,1,1,3
Sl_305,2016-05-22,15:02:51,,,1,78685,105,red,red,red,639,1,1,1
Sl_305,2016-05-22,15:02:51,,,1,79496,106,blue,yellow,blue,811,1,0,2
Sl_305,2016-05-22,15:02:52,,,1,80029,107,red,red,yellow,532,0,1,3
Sl_305,2016-05-22,15:02:53,,,1,80963,108,green,green,green,933,1,1,1
Sl_305,2016-05-22,15:02:54,,,1,81770,109,blue,yellow,yellow,807,0,0,2
Sl_305,2016-05-22,15:02:54,,,1,82497,110,yellow,green,yellow,726,1,0,4
Sl_305,2016-05-22,15:02:55,,,1,83464,111,blue,red,red,967,0,0,4
Sl_305,2016-05-22,15:02:56,,,1,84864,112,yellow,green,yellow,1399,1,0,4
Sl_305,2016-05-22,15:02:57,,,1,85531,113,blue,blue,blue,667,1,1,3
Sl_305,2016-05-22,15:02:58,,,1,86130,114,green,green,green,599,1,1,1
Sl_305,2016-05-22,15:02:59,,,1,86769,115,yellow,red,yellow,639,1,0,2
Sl_305,2016-05-22,15:02:59,,,1,87429,116,green,green,blue,659,0,1,3
Sl_305,2016-05-22,15:03:00,,,1,89080,117,blue,blue,blue,1644,1,1,1
Sl_305,2016-05-22,15:03:02,,,1,89836,118,yellow,green,yellow,755,1,0,2
Sl_305,2016-05-22,15:03:02,,,1,90529,119,red,red,red,692,1,1,3
