id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
SI_259,2016-03-10,15:48:01,,,4,440178,1,yellow,yellow,yellow,1315,1,1,
SI_259,2016-03-10,15:48:03,,,4,441204,2,blue,red,blue,1021,1,0,2
SI_259,2016-03-10,15:48:04,,,4,442105,3,yellow,yellow,yellow,892,1,1,3
SI_259,2016-03-10,15:48:05,,,4,443173,4,red,red,red,1065,1,1,1
SI_259,2016-03-10,15:48:06,,,4,444154,5,green,yellow,green,979,1,0,2
SI_259,2016-03-10,15:48:07,,,4,445141,6,red,red,red,984,1,1,3
SI_259,2016-03-10,15:48:08,,,4,446134,7,yellow,yellow,yellow,987,1,1,1
SI_259,2016-03-10,15:48:09,,,4,447166,8,green,blue,green,1030,1,0,2
SI_259,2016-03-10,15:48:10,,,4,448014,9,blue,yellow,blue,847,1,0,4
SI_259,2016-03-10,15:48:11,,,4,448941,10,yellow,blue,yellow,924,1,0,4
SI_259,2016-03-10,15:48:11,,,4,450033,11,green,green,green,1090,1,1,3
SI_259,2016-03-10,15:48:13,,,4,450801,12,yellow,yellow,yellow,767,1,1,1
SI_259,2016-03-10,15:48:13,,,4,451859,13,blue,green,blue,1056,1,0,2
SI_259,2016-03-10,15:48:14,,,4,452715,14,green,blue,green,852,1,0,4
SI_259,2016-03-10,15:48:15,,,4,453816,15,red,red,red,1099,1,1,3
SI_259,2016-03-10,15:48:16,,,4,454801,16,yellow,green,yellow,984,1,0,2
SI_259,2016-03-10,15:48:17,,,4,455770,17,blue,yellow,blue,967,1,0,4
SI_259,2016-03-10,15:48:18,,,4,456919,18,green,green,green,1146,1,1,3
SI_259,2016-03-10,15:48:19,,,4,458100,19,yellow,red,yellow,1179,1,0,2
SI_259,2016-03-10,15:48:21,,,4,459106,20,green,green,green,1004,1,1,3
SI_259,2016-03-10,15:48:22,,,4,460052,21,yellow,yellow,yellow,944,1,1,1
SI_259,2016-03-10,15:48:23,,,4,461204,22,blue,green,blue,1150,1,0,2
