id,date,time,t0,order_of_test,time_start_battery,order_in_test,color,text,response,reaction_time,correct,congruent,stimuli_combination
SI_184,2015-10-23,12:41:13,1445596873392,3,314361,1,red,red,red,1307,1,1,
SI_184,2015-10-23,12:41:14,1445596873392,3,315314,2,yellow,yellow,yellow,952,1,1,1
SI_184,2015-10-23,12:41:15,1445596873392,3,316334,3,red,blue,red,1018,1,0,2
SI_184,2015-10-23,12:41:16,1445596873392,3,317265,4,blue,yellow,blue,929,1,0,4
SI_184,2015-10-23,12:41:17,1445596873392,3,318066,5,red,red,red,800,1,1,3
SI_184,2015-10-23,12:41:18,1445596873392,3,319031,6,yellow,blue,yellow,964,1,0,2
SI_184,2015-10-23,12:41:19,1445596873392,3,319953,7,blue,green,blue,920,1,0,4
SI_184,2015-10-23,12:41:20,1445596873392,3,321334,8,yellow,blue,yellow,1379,1,0,4
SI_184,2015-10-23,12:41:21,1445596873392,3,322037,9,red,red,red,701,1,1,3
SI_184,2015-10-23,12:41:22,1445596873392,3,322851,10,green,yellow,green,813,1,0,2
SI_184,2015-10-23,12:41:23,1445596873392,3,323805,11,yellow,blue,yellow,953,1,0,4
SI_184,2015-10-23,12:41:24,1445596873392,3,324606,12,green,green,green,799,1,1,3
SI_184,2015-10-23,12:41:24,1445596873392,3,325744,13,yellow,red,yellow,1137,1,0,2
SI_184,2015-10-23,12:41:26,1445596873392,3,326735,14,green,blue,green,989,1,0,4
SI_184,2015-10-23,12:41:27,1445596873392,3,327521,15,red,red,red,784,1,1,3
SI_184,2015-10-23,12:41:27,1445596873392,3,328360,16,green,green,green,837,1,1,1
SI_184,2015-10-23,12:41:28,1445596873392,3,329564,17,red,blue,red,1200,1,0,2
SI_184,2015-10-23,12:41:29,1445596873392,3,330521,18,yellow,yellow,yellow,955,1,1,3
SI_184,2015-10-23,12:41:30,1445596873392,3,331274,19,red,red,red,751,1,1,1
SI_184,2015-10-23,12:41:31,1445596873392,3,332480,20,yellow,blue,yellow,1205,1,0,2
SI_184,2015-10-23,12:41:32,1445596873392,3,333314,21,green,green,green,833,1,1,3
SI_184,2015-10-23,12:41:33,1445596873392,3,334350,22,yellow,blue,yellow,1035,1,0,2
SI_184,2015-10-23,12:41:34,1445596873392,3,335391,23,green,green,green,1040,1,1,3
SI_184,2015-10-23,12:41:35,1445596873392,3,336236,24,blue,blue,blue,840,1,1,1
SI_184,2015-10-23,12:41:36,1445596873392,3,337280,25,yellow,green,yellow,1041,1,0,2
SI_184,2015-10-23,12:41:37,1445596873392,3,338155,26,blue,blue,blue,874,1,1,3
SI_184,2015-10-23,12:41:38,1445596873392,3,339031,27,red,red,red,871,1,1,1
SI_184,2015-10-23,12:41:39,1445596873392,3,341493,28,blue,green,blue,2462,1,0,2
SI_184,2015-10-23,12:41:41,1445596873392,3,342747,29,yellow,blue,yellow,1252,1,0,4
SI_184,2015-10-23,12:41:43,1445596873392,3,344276,30,blue,yellow,blue,1528,1,0,4
SI_184,2015-10-23,12:41:44,1445596873392,3,345650,31,yellow,green,yellow,1374,1,0,4
SI_184,2015-10-23,12:41:45,1445596873392,3,347666,32,blue,red,blue,2015,1,0,4
SI_184,2015-10-23,12:41:48,1445596873392,3,348609,33,green,blue,green,942,1,0,4
SI_184,2015-10-23,12:41:48,1445596873392,3,349390,34,yellow,yellow,yellow,780,1,1,3
SI_184,2015-10-23,12:41:49,1445596873392,3,350212,35,red,red,red,821,1,1,1
SI_184,2015-10-23,12:41:50,1445596873392,3,352478,36,green,blue,green,2265,1,0,2
SI_184,2015-10-23,12:41:52,1445596873392,3,353605,37,blue,red,blue,1126,1,0,4
SI_184,2015-10-23,12:41:53,1445596873392,3,354534,38,red,blue,red,927,1,0,4
SI_184,2015-10-23,12:41:54,1445596873392,3,355477,39,green,yellow,green,940,1,0,4
SI_184,2015-10-23,12:41:55,1445596873392,3,356509,40,red,blue,red,1030,1,0,4
SI_184,2015-10-23,12:41:56,1445596873392,3,357533,41,green,yellow,green,1020,1,0,4
SI_184,2015-10-23,12:41:57,1445596873392,3,358380,42,blue,blue,blue,846,1,1,3
SI_184,2015-10-23,12:41:58,1445596873392,3,359196,43,yellow,yellow,yellow,814,1,1,1
SI_184,2015-10-23,12:41:59,1445596873392,3,360126,44,blue,red,green,929,0,0,2
SI_184,2015-10-23,12:42:00,1445596873392,3,360498,45,green,green,blue,370,0,1,3
SI_184,2015-10-23,12:42:00,1445596873392,3,361750,46,yellow,yellow,yellow,1251,1,1,1
SI_184,2015-10-23,12:42:02,1445596873392,3,362691,47,green,blue,green,939,1,0,2
SI_184,2015-10-23,12:42:03,1445596873392,3,363803,48,blue,yellow,blue,1111,1,0,4
SI_184,2015-10-23,12:42:04,1445596873392,3,364671,49,green,green,green,868,1,1,3
SI_184,2015-10-23,12:42:05,1445596873392,3,365542,50,blue,blue,blue,869,1,1,1
SI_184,2015-10-23,12:42:05,1445596873392,3,366364,51,red,yellow,red,821,1,0,2
SI_184,2015-10-23,12:42:06,1445596873392,3,367155,52,green,green,green,790,1,1,3
SI_184,2015-10-23,12:42:07,1445596873392,3,368602,53,red,red,red,1446,1,1,1
SI_184,2015-10-23,12:42:08,1445596873392,3,369851,54,yellow,green,yellow,1246,1,0,2
SI_184,2015-10-23,12:42:10,1445596873392,3,370618,55,blue,blue,blue,762,1,1,3
SI_184,2015-10-23,12:42:10,1445596873392,3,371453,56,green,green,green,833,1,1,1
SI_184,2015-10-23,12:42:11,1445596873392,3,372364,57,red,yellow,red,910,1,0,2
SI_184,2015-10-23,12:42:12,1445596873392,3,373148,58,green,green,green,784,1,1,3
SI_184,2015-10-23,12:42:13,1445596873392,3,373930,59,blue,blue,blue,780,1,1,1
SI_184,2015-10-23,12:42:14,1445596873392,3,374854,60,red,yellow,red,923,1,0,2
SI_184,2015-10-23,12:42:15,1445596873392,3,375657,61,blue,blue,blue,802,1,1,3
SI_184,2015-10-23,12:42:15,1445596873392,3,376478,62,green,green,green,820,1,1,1
SI_184,2015-10-23,12:42:16,1445596873392,3,377736,63,red,blue,red,1256,1,0,2
