id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_280,2016-05-09,07:24:04,,,2,156654,1,90,31,121,4608,1
SI_280,2016-05-09,07:24:09,,,2,170604,2,87,46,138,13949,0
SI_280,2016-05-09,07:24:23,,,2,176294,3,29,33,62,5690,1
SI_280,2016-05-09,07:24:29,,,2,189610,4,14,56,70,13314,1
SI_280,2016-05-09,07:24:42,,,2,196723,5,54,48,100,7111,0
SI_280,2016-05-09,07:24:49,,,2,206612,6,36,16,52,9888,1
SI_280,2016-05-09,07:24:59,,,2,215224,7,91,62,113,8611,0
SI_280,2016-05-09,07:25:08,,,2,224510,8,25,14,39,9286,1
SI_280,2016-05-09,07:25:17,,,2,229647,9,13,44,57,5137,1
SI_280,2016-05-09,07:25:22,,,2,237966,10,90,36,126,8319,1
SI_280,2016-05-09,07:25:30,,,2,247461,11,62,74,136,9495,1
SI_280,2016-05-09,07:25:40,,,2,259963,12,54,98,153,12501,0
SI_280,2016-05-09,07:25:52,,,2,265913,13,23,75,98,5949,1
SI_280,2016-05-09,07:25:58,,,2,272062,14,36,37,,6149,0
