id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_264,2016-03-30,05:29:29,,,4,402280,1,66,63,129,4291,1
SI_264,2016-03-30,05:29:33,,,4,407370,2,32,91,123,5090,1
SI_264,2016-03-30,05:29:38,,,4,413948,3,38,68,106,6578,1
SI_264,2016-03-30,05:29:45,,,4,417701,4,18,71,99,3753,0
SI_264,2016-03-30,05:29:49,,,4,425946,5,54,46,1,8245,0
SI_264,2016-03-30,05:29:57,,,4,434955,6,86,91,177,9009,1
SI_264,2016-03-30,05:30:06,,,4,441102,7,78,99,179,6147,0
SI_264,2016-03-30,05:30:12,,,4,444387,8,78,50,128,3285,1
SI_264,2016-03-30,05:30:15,,,4,448293,9,35,33,68,3906,1
SI_264,2016-03-30,05:30:19,,,4,451757,10,14,35,49,3464,1
SI_264,2016-03-30,05:30:23,,,4,456527,11,80,52,132,4770,1
SI_264,2016-03-30,05:30:28,,,4,459982,12,11,42,53,3455,1
SI_264,2016-03-30,05:30:31,,,4,463083,13,31,40,71,3101,1
SI_264,2016-03-30,05:30:34,,,4,469164,14,94,65,159,6081,1
SI_264,2016-03-30,05:30:40,,,4,472995,15,31,57,88,3831,1
SI_264,2016-03-30,05:30:44,,,4,476633,16,21,14,35,3638,1
SI_264,2016-03-30,05:30:48,,,4,480306,17,12,31,43,3673,1
SI_264,2016-03-30,05:30:51,,,4,484906,18,91,93,184,4600,1
SI_264,2016-03-30,05:30:56,,,4,489154,19,60,88,148,4248,1
SI_264,2016-03-30,05:31:00,,,4,494591,20,85,61,146,5437,1
SI_264,2016-03-30,05:31:06,,,4,499015,21,62,82,144,4424,1
SI_264,2016-03-30,05:31:10,,,4,505373,22,24,64,88,6358,1
SI_264,2016-03-30,05:31:16,,,4,510820,23,95,53,148,5447,1
SI_264,2016-03-30,05:31:22,,,4,516306,24,12,42,54,5486,1
SI_264,2016-03-30,05:31:27,,,4,517995,25,41,77,,1689,0
