id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_249,2016-03-02,21:21:49,,,4,448641,1,37,81,118,10894,1
SI_249,2016-03-02,21:22:00,,,4,454757,2,27,12,39,6116,1
SI_249,2016-03-02,21:22:06,,,4,458207,3,30,33,63,3449,1
SI_249,2016-03-02,21:22:10,,,4,462573,4,57,90,147,4366,1
SI_249,2016-03-02,21:22:14,,,4,469842,5,73,43,116,7269,1
SI_249,2016-03-02,21:22:21,,,4,492434,6,16,67,83,22592,1
SI_249,2016-03-02,21:22:44,,,4,500794,7,41,72,113,8360,1
SI_249,2016-03-02,21:22:52,,,4,505528,8,60,19,79,4734,1
SI_249,2016-03-02,21:22:57,,,4,517649,9,69,93,162,12120,1
SI_249,2016-03-02,21:23:09,,,4,521799,10,20,49,69,4150,1
SI_249,2016-03-02,21:23:13,,,4,528035,11,32,44,76,6236,1
SI_249,2016-03-02,21:23:20,,,4,533463,12,99,85,184,5428,1
SI_249,2016-03-02,21:23:25,,,4,545310,13,84,26,110,11846,1
SI_249,2016-03-02,21:23:37,,,4,551994,14,60,89,149,6684,1
SI_249,2016-03-02,21:23:44,,,4,557756,15,41,81,,5762,0
