id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_187,2015-10-11,23:27:48,1444598868907,4,458862,1,32,64,96,4757,1
SI_187,2015-10-11,23:27:53,1444598868907,4,463689,2,63,67,130,4826,1
SI_187,2015-10-11,23:27:58,1444598868907,4,467025,3,19,32,51,3335,1
SI_187,2015-10-11,23:28:01,1444598868907,4,471730,4,53,34,87,4704,1
SI_187,2015-10-11,23:28:06,1444598868907,4,477292,5,58,38,96,5560,1
SI_187,2015-10-11,23:28:12,1444598868907,4,481501,6,77,45,122,4207,1
SI_187,2015-10-11,23:28:16,1444598868907,4,488128,7,59,45,104,6626,1
SI_187,2015-10-11,23:28:22,1444598868907,4,490905,8,90,35,125,2776,1
SI_187,2015-10-11,23:28:25,1444598868907,4,494582,9,73,57,130,3676,1
SI_187,2015-10-11,23:28:29,1444598868907,4,497931,10,26,38,64,3347,1
SI_187,2015-10-11,23:28:32,1444598868907,4,504613,11,76,53,129,6681,1
SI_187,2015-10-11,23:28:39,1444598868907,4,509264,12,71,32,103,4650,1
SI_187,2015-10-11,23:28:44,1444598868907,4,515602,13,86,79,165,6338,1
SI_187,2015-10-11,23:28:50,1444598868907,4,518331,14,80,90,170,2728,1
SI_187,2015-10-11,23:28:53,1444598868907,4,521527,15,32,39,71,3195,1
SI_187,2015-10-11,23:28:56,1444598868907,4,524675,16,54,60,114,3147,1
SI_187,2015-10-11,23:28:59,1444598868907,4,527273,17,13,25,38,2597,1
SI_187,2015-10-11,23:29:02,1444598868907,4,530187,18,19,74,93,2913,1
SI_187,2015-10-11,23:29:04,1444598868907,4,536988,19,94,98,192,6800,1
SI_187,2015-10-11,23:29:11,1444598868907,4,540776,20,12,88,100,3787,1
SI_187,2015-10-11,23:29:15,1444598868907,4,544053,21,58,53,111,3276,1
SI_187,2015-10-11,23:29:18,1444598868907,4,546534,22,12,58,70,2480,1
SI_187,2015-10-11,23:29:21,1444598868907,4,551670,23,93,22,115,5135,1
SI_187,2015-10-11,23:29:26,1444598868907,4,560105,24,78,44,122,8434,1
SI_187,2015-10-11,23:29:34,1444598868907,4,562882,25,70,71,141,2776,1
SI_187,2015-10-11,23:29:37,1444598868907,4,568105,26,46,75,121,5222,1
SI_187,2015-10-11,23:29:42,1444598868907,4,571870,27,31,12,43,3764,1
SI_187,2015-10-11,23:29:46,1444598868907,4,574116,28,83,21,,2245,0
