id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
Sl_291,2016-05-25,10:43:27,,,5,520992,1,66,54,120,7893,1
Sl_291,2016-05-25,10:43:35,,,5,527901,2,13,28,41,6908,1
Sl_291,2016-05-25,10:43:42,,,5,536984,3,89,69,168,9083,0
Sl_291,2016-05-25,10:43:51,,,5,546344,4,48,88,136,9360,1
Sl_291,2016-05-25,10:44:00,,,5,561503,5,16,33,49,15158,1
Sl_291,2016-05-25,10:44:16,,,5,566687,6,15,53,68,5182,1
Sl_291,2016-05-25,10:44:21,,,5,570332,7,67,20,87,3645,1
Sl_291,2016-05-25,10:44:24,,,5,573887,8,11,67,78,3554,1
Sl_291,2016-05-25,10:44:28,,,5,586567,9,45,37,82,12678,1
Sl_291,2016-05-25,10:44:41,,,5,598401,10,82,23,105,11833,1
Sl_291,2016-05-25,10:44:53,,,5,604783,11,11,25,36,6381,1
Sl_291,2016-05-25,10:44:59,,,5,609073,12,95,40,135,4290,1
Sl_291,2016-05-25,10:45:03,,,5,627852,13,88,27,115,18779,1
Sl_291,2016-05-25,10:45:22,,,5,631719,14,63,47,110,3866,1
Sl_291,2016-05-25,10:45:26,,,5,633100,15,23,84,,1380,0
