id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_134,2015-04-13,12:48:22,1428922102995,4,391001,1,45,84,129,5976,1
SI_134,2015-04-13,12:48:28,1428922102995,4,395944,2,97,76,173,4943,1
SI_134,2015-04-13,12:48:33,1428922102995,4,399411,3,79,80,159,3467,1
SI_134,2015-04-13,12:48:37,1428922102995,4,403272,4,38,18,56,3861,1
SI_134,2015-04-13,12:48:41,1428922102995,4,408824,5,65,43,108,5552,1
SI_134,2015-04-13,12:48:46,1428922102995,4,413809,6,76,75,151,4985,1
SI_134,2015-04-13,12:48:51,1428922102995,4,422984,7,61,98,159,9175,1
SI_134,2015-04-13,12:49:00,1428922102995,4,427058,8,58,80,138,4074,1
SI_134,2015-04-13,12:49:05,1428922102995,4,431401,9,21,15,36,4343,1
SI_134,2015-04-13,12:49:09,1428922102995,4,437421,10,84,72,156,6020,1
SI_134,2015-04-13,12:49:15,1428922102995,4,441877,11,38,62,100,4456,1
SI_134,2015-04-13,12:49:19,1428922102995,4,447431,12,83,63,146,5554,1
SI_134,2015-04-13,12:49:25,1428922102995,4,451743,13,18,56,74,4312,1
SI_134,2015-04-13,12:49:29,1428922102995,4,457028,14,50,69,119,5285,1
SI_134,2015-04-13,12:49:34,1428922102995,4,461265,15,43,22,65,4237,1
SI_134,2015-04-13,12:49:39,1428922102995,4,469566,16,58,68,126,8300,1
SI_134,2015-04-13,12:49:47,1428922102995,4,475145,17,22,67,89,5579,1
SI_134,2015-04-13,12:49:53,1428922102995,4,482564,18,43,97,140,7419,1
SI_134,2015-04-13,12:50:00,1428922102995,4,486413,19,68,60,128,3849,1
SI_134,2015-04-13,12:50:04,1428922102995,4,491622,20,75,90,165,5209,1
SI_134,2015-04-13,12:50:09,1428922102995,4,500701,21,94,25,119,9079,1
SI_134,2015-04-13,12:50:18,1428922102995,4,505512,22,79,66,,4811,0
