id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
Sl_290,2016-04-11,14:26:12,,,5,539624,1,21,75,96,4606,1
Sl_290,2016-04-11,14:26:16,,,5,545503,2,96,99,195,5877,1
Sl_290,2016-04-11,14:26:22,,,5,551432,3,81,73,154,5928,1
Sl_290,2016-04-11,14:26:28,,,5,556866,4,86,79,165,5432,1
Sl_290,2016-04-11,14:26:34,,,5,560083,5,26,50,76,3216,1
Sl_290,2016-04-11,14:26:37,,,5,571005,6,36,91,127,10920,1
Sl_290,2016-04-11,14:26:48,,,5,576679,7,78,23,101,5673,1
Sl_290,2016-04-11,14:26:54,,,5,580887,8,32,79,111,4206,1
Sl_290,2016-04-11,14:26:58,,,5,588287,9,22,87,109,7399,1
Sl_290,2016-04-11,14:27:05,,,5,598572,10,48,90,138,10284,1
Sl_290,2016-04-11,14:27:15,,,5,602872,11,71,89,160,4300,1
Sl_290,2016-04-11,14:27:20,,,5,609918,12,52,86,138,7045,1
Sl_290,2016-04-11,14:27:27,,,5,617079,13,95,49,144,7160,1
Sl_290,2016-04-11,14:27:34,,,5,622481,14,97,38,135,5401,1
Sl_290,2016-04-11,14:27:39,,,5,632812,15,47,47,94,10331,1
Sl_290,2016-04-11,14:27:50,,,5,639188,16,24,93,117,6375,1
Sl_290,2016-04-11,14:27:56,,,5,643610,17,99,59,158,4421,1
Sl_290,2016-04-11,14:28:00,,,5,648292,18,47,83,130,4680,1
Sl_290,2016-04-11,14:28:05,,,5,655018,19,60,94,,6725,0
