id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
Sl_305,2016-05-22,10:38:53,,,1,11140,1,56,57,113,5468,1
Sl_305,2016-05-22,10:38:59,,,1,17623,2,89,25,114,6483,1
Sl_305,2016-05-22,10:39:05,,,1,25264,3,55,36,91,7641,1
Sl_305,2016-05-22,10:39:13,,,1,28530,4,26,99,125,3266,1
Sl_305,2016-05-22,10:39:16,,,1,33297,5,46,58,104,4767,1
Sl_305,2016-05-22,10:39:21,,,1,39281,6,22,19,41,5984,1
Sl_305,2016-05-22,10:39:27,,,1,45416,7,39,35,74,6135,1
Sl_305,2016-05-22,10:39:33,,,1,48417,8,17,93,110,3001,1
Sl_305,2016-05-22,10:39:36,,,1,53699,9,36,53,89,5282,1
Sl_305,2016-05-22,10:39:41,,,1,56971,10,34,99,133,3272,1
Sl_305,2016-05-22,10:39:45,,,1,62523,11,54,94,146,5552,0
Sl_305,2016-05-22,10:39:50,,,1,69354,12,62,53,115,6831,1
Sl_305,2016-05-22,10:39:57,,,1,77747,13,81,58,139,8393,1
Sl_305,2016-05-22,10:40:05,,,1,83480,14,42,74,96,5733,0
Sl_305,2016-05-22,10:40:11,,,1,90771,15,59,85,144,7290,1
Sl_305,2016-05-22,10:40:18,,,1,95732,16,68,72,140,4961,1
Sl_305,2016-05-22,10:40:23,,,1,100730,17,72,34,106,4998,1
Sl_305,2016-05-22,10:40:28,,,1,104514,18,33,54,87,3784,1
Sl_305,2016-05-22,10:40:32,,,1,109964,19,44,83,127,5450,1
Sl_305,2016-05-22,10:40:38,,,1,113630,20,43,80,123,3666,1
Sl_305,2016-05-22,10:40:41,,,1,124747,21,79,82,161,11117,1
Sl_305,2016-05-22,10:40:52,,,1,125679,22,74,74,,932,0
