id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_243,2016-04-29,05:14:29,,,3,313872,1,27,23,50,4242,1
SI_243,2016-04-29,05:14:34,,,3,324330,2,18,99,117,10457,1
SI_243,2016-04-29,05:14:44,,,3,329147,3,80,46,126,4816,1
SI_243,2016-04-29,05:14:49,,,3,332895,4,96,50,146,3748,1
SI_243,2016-04-29,05:14:53,,,3,343312,5,47,22,69,10416,1
SI_243,2016-04-29,05:15:03,,,3,350967,6,35,24,59,7654,1
SI_243,2016-04-29,05:15:11,,,3,356366,7,25,64,89,5399,1
SI_243,2016-04-29,05:15:16,,,3,365416,8,53,85,138,9050,1
SI_243,2016-04-29,05:15:25,,,3,369452,9,97,60,157,4035,1
SI_243,2016-04-29,05:15:29,,,3,374983,10,42,49,91,5531,1
SI_243,2016-04-29,05:15:35,,,3,379468,11,46,11,57,4484,1
SI_243,2016-04-29,05:15:39,,,3,385136,12,79,30,109,5667,1
SI_243,2016-04-29,05:15:45,,,3,410458,13,59,68,127,25322,1
SI_243,2016-04-29,05:16:10,,,3,416445,14,91,99,190,5985,1
SI_243,2016-04-29,05:16:16,,,3,420169,15,13,70,83,3724,1
SI_243,2016-04-29,05:16:20,,,3,427995,16,89,68,156,7824,0
SI_243,2016-04-29,05:16:28,,,3,429630,17,93,64,,1634,0
