id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_268,2016-03-14,11:40:34,,,3,302862,1,19,72,91,6573,1
SI_268,2016-03-14,11:40:40,,,3,306329,2,93,40,133,3467,1
SI_268,2016-03-14,11:40:44,,,3,310324,3,34,91,125,3994,1
SI_268,2016-03-14,11:40:48,,,3,315249,4,19,53,72,4925,1
SI_268,2016-03-14,11:40:53,,,3,321016,5,16,59,75,5767,1
SI_268,2016-03-14,11:40:58,,,3,323277,6,20,23,43,2261,1
SI_268,2016-03-14,11:41:01,,,3,331154,7,31,85,116,7877,1
SI_268,2016-03-14,11:41:09,,,3,337866,8,53,18,71,6711,1
SI_268,2016-03-14,11:41:15,,,3,342194,9,54,61,115,4328,1
SI_268,2016-03-14,11:41:20,,,3,345746,10,21,89,110,3552,1
SI_268,2016-03-14,11:41:23,,,3,354103,11,56,76,132,8357,1
SI_268,2016-03-14,11:41:32,,,3,358699,12,79,76,155,4596,1
SI_268,2016-03-14,11:41:36,,,3,364306,13,69,64,133,5607,1
SI_268,2016-03-14,11:41:42,,,3,371755,14,78,69,147,7448,1
SI_268,2016-03-14,11:41:49,,,3,376271,15,81,36,117,4516,1
SI_268,2016-03-14,11:41:54,,,3,384663,16,29,17,46,8392,1
SI_268,2016-03-14,11:42:02,,,3,391887,17,88,25,113,7224,1
SI_268,2016-03-14,11:42:09,,,3,394744,18,17,23,40,2856,1
SI_268,2016-03-14,11:42:12,,,3,397164,19,90,25,115,2420,1
SI_268,2016-03-14,11:42:15,,,3,401202,20,80,97,177,4038,1
SI_268,2016-03-14,11:42:19,,,3,404420,21,21,25,46,3218,1
SI_268,2016-03-14,11:42:22,,,3,408386,22,22,76,98,3966,1
SI_268,2016-03-14,11:42:26,,,3,411081,23,43,23,66,2695,1
SI_268,2016-03-14,11:42:28,,,3,413739,24,23,22,45,2658,1
SI_268,2016-03-14,11:42:31,,,3,416295,25,27,30,,2556,0
