id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_294,2016-04-22,14:10:33,,,2,155092,1,82,21,103,6566,1
SI_294,2016-04-22,14:10:39,,,2,171281,2,48,78,126,16189,1
SI_294,2016-04-22,14:10:55,,,2,176889,3,41,43,84,5608,1
SI_294,2016-04-22,14:11:01,,,2,179942,4,41,40,81,3053,1
SI_294,2016-04-22,14:11:04,,,2,188924,5,92,43,135,8982,1
SI_294,2016-04-22,14:11:13,,,2,192775,6,43,90,133,3851,1
SI_294,2016-04-22,14:11:17,,,2,200494,7,68,58,126,7719,1
SI_294,2016-04-22,14:11:24,,,2,204765,8,79,20,99,4271,1
SI_294,2016-04-22,14:11:29,,,2,214873,9,72,50,122,10108,1
SI_294,2016-04-22,14:11:39,,,2,224975,10,31,38,69,10102,1
SI_294,2016-04-22,14:11:49,,,2,230893,11,44,62,106,5918,1
SI_294,2016-04-22,14:11:55,,,2,241555,12,78,88,166,10662,1
SI_294,2016-04-22,14:12:06,,,2,256896,13,49,24,73,15341,1
SI_294,2016-04-22,14:12:21,,,2,268431,14,41,93,134,11535,1
SI_294,2016-04-22,14:12:32,,,2,268612,15,81,87,,181,0
