id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
Sl_287,2016-05-21,06:22:59,,,1,9621,1,21,97,118,3956,1
Sl_287,2016-05-21,06:23:03,,,1,12268,2,50,48,98,2645,1
Sl_287,2016-05-21,06:23:06,,,1,14428,3,25,50,75,2159,1
Sl_287,2016-05-21,06:23:08,,,1,20985,4,73,85,158,6556,1
Sl_287,2016-05-21,06:23:15,,,1,26115,5,41,90,131,5129,1
Sl_287,2016-05-21,06:23:20,,,1,36904,6,54,85,139,10789,1
Sl_287,2016-05-21,06:23:31,,,1,40712,7,59,49,108,3807,1
Sl_287,2016-05-21,06:23:34,,,1,46311,8,28,94,122,5599,1
Sl_287,2016-05-21,06:23:40,,,1,53088,9,36,77,113,6777,1
Sl_287,2016-05-21,06:23:47,,,1,57763,10,43,18,61,4675,1
Sl_287,2016-05-21,06:23:51,,,1,64492,11,29,17,46,6729,1
Sl_287,2016-05-21,06:23:58,,,1,75282,12,59,97,156,10790,1
Sl_287,2016-05-21,06:24:09,,,1,79474,13,61,86,147,4191,1
Sl_287,2016-05-21,06:24:13,,,1,85355,14,94,70,164,5881,1
Sl_287,2016-05-21,06:24:19,,,1,92300,15,71,40,111,6944,1
Sl_287,2016-05-21,06:24:26,,,1,96610,16,96,23,119,4310,1
Sl_287,2016-05-21,06:24:30,,,1,102048,17,55,91,146,5437,1
Sl_287,2016-05-21,06:24:36,,,1,109506,18,59,82,141,7456,1
Sl_287,2016-05-21,06:24:43,,,1,113900,19,92,37,129,4393,1
Sl_287,2016-05-21,06:24:48,,,1,119748,20,65,59,14,5848,0
Sl_287,2016-05-21,06:24:53,,,1,125662,21,16,15,,5913,0
