id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_112_Morgon,2015-03-10,07:33:35,1425969215617,4,450553,1,81,99,18,4572,0
SI_112_Morgon,2015-03-10,07:33:40,1425969215617,4,455763,2,91,33,124,5210,1
SI_112_Morgon,2015-03-10,07:33:45,1425969215617,4,470099,3,18,78,96,14336,1
SI_112_Morgon,2015-03-10,07:33:59,1425969215617,4,476067,4,28,62,90,5968,1
SI_112_Morgon,2015-03-10,07:34:05,1425969215617,4,482968,5,36,80,116,6901,1
SI_112_Morgon,2015-03-10,07:34:12,1425969215617,4,492656,6,37,89,136,9688,0
SI_112_Morgon,2015-03-10,07:34:22,1425969215617,4,504089,7,42,96,138,11433,1
SI_112_Morgon,2015-03-10,07:34:33,1425969215617,4,509638,8,37,53,90,5549,1
SI_112_Morgon,2015-03-10,07:34:39,1425969215617,4,516537,9,53,85,138,6899,1
SI_112_Morgon,2015-03-10,07:34:46,1425969215617,4,520957,10,34,15,49,4420,1
SI_112_Morgon,2015-03-10,07:34:50,1425969215617,4,528271,11,31,19,50,7314,1
SI_112_Morgon,2015-03-10,07:34:57,1425969215617,4,537688,12,83,62,145,9417,1
SI_112_Morgon,2015-03-10,07:35:07,1425969215617,4,542775,13,92,45,137,5086,1
SI_112_Morgon,2015-03-10,07:35:12,1425969215617,4,548542,14,53,55,108,5767,1
SI_112_Morgon,2015-03-10,07:35:18,1425969215617,4,556061,15,71,68,139,7519,1
SI_112_Morgon,2015-03-10,07:35:25,1425969215617,4,562004,16,15,47,62,5943,1
SI_112_Morgon,2015-03-10,07:35:31,1425969215617,4,565987,17,85,70,,3983,0
