id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
Sl_291,2016-05-25,04:03:37,,,2,149490,1,43,27,70,6258,1
Sl_291,2016-05-25,04:03:43,,,2,155601,2,97,20,117,6110,1
Sl_291,2016-05-25,04:03:49,,,2,161036,3,67,38,105,5434,1
Sl_291,2016-05-25,04:03:55,,,2,168512,4,26,47,73,7476,1
Sl_291,2016-05-25,04:04:02,,,2,178493,5,84,35,119,9980,1
Sl_291,2016-05-25,04:04:12,,,2,189660,6,16,79,95,11166,1
Sl_291,2016-05-25,04:04:23,,,2,199289,7,49,23,72,9628,1
Sl_291,2016-05-25,04:04:33,,,2,207827,8,85,36,121,8537,1
Sl_291,2016-05-25,04:04:41,,,2,211969,9,77,40,117,4140,1
Sl_291,2016-05-25,04:04:46,,,2,223032,10,44,83,127,11062,1
Sl_291,2016-05-25,04:04:57,,,2,226259,11,74,31,105,3227,1
Sl_291,2016-05-25,04:05:00,,,2,231268,12,11,93,104,5008,1
Sl_291,2016-05-25,04:05:05,,,2,243960,13,40,78,118,12692,1
Sl_291,2016-05-25,04:05:18,,,2,247659,14,59,51,110,3699,1
Sl_291,2016-05-25,04:05:21,,,2,252466,15,64,45,109,4807,1
Sl_291,2016-05-25,04:05:26,,,2,259338,16,48,25,73,6872,1
Sl_291,2016-05-25,04:05:33,,,2,264288,17,41,17,58,4950,1
Sl_291,2016-05-25,04:05:38,,,2,273062,18,31,48,79,8773,1
Sl_291,2016-05-25,04:05:47,,,2,277073,19,72,13,85,4011,1
Sl_291,2016-05-25,04:05:51,,,2,282082,20,93,52,145,5008,1
Sl_291,2016-05-25,04:05:56,,,2,291790,21,66,72,138,9707,1
Sl_291,2016-05-25,04:06:05,,,2,297653,22,19,18,35,5862,0
Sl_291,2016-05-25,04:06:11,,,2,318414,23,38,64,104,20759,0
Sl_291,2016-05-25,04:06:32,,,2,324068,24,99,30,129,5653,1
Sl_291,2016-05-25,04:06:38,,,2,330432,25,32,18,50,6363,1
Sl_291,2016-05-25,04:06:44,,,2,337249,26,39,41,80,6815,1
Sl_291,2016-05-25,04:06:51,,,2,339893,27,58,58,116,2643,1
Sl_291,2016-05-25,04:06:53,,,2,342709,28,90,92,182,2815,1
Sl_291,2016-05-25,04:06:56,,,2,349949,29,64,56,120,7239,1
Sl_291,2016-05-25,04:07:03,,,2,355810,30,55,99,154,5860,1
Sl_291,2016-05-25,04:07:09,,,2,358646,31,34,50,84,2835,1
Sl_291,2016-05-25,04:07:12,,,2,363677,32,33,35,68,5031,1
Sl_291,2016-05-25,04:07:17,,,2,378028,33,57,16,73,14350,1
Sl_291,2016-05-25,04:07:32,,,2,392971,34,68,79,147,14941,1
Sl_291,2016-05-25,04:07:47,,,2,403866,35,45,82,127,10895,1
Sl_291,2016-05-25,04:07:57,,,2,410634,36,98,88,186,6766,1
Sl_291,2016-05-25,04:08:04,,,2,417503,37,23,76,99,6866,1
Sl_291,2016-05-25,04:08:11,,,2,430404,38,19,87,126,12899,0
Sl_291,2016-05-25,04:08:24,,,2,447871,39,28,95,124,17467,0
Sl_291,2016-05-25,04:08:41,,,2,456871,40,43,97,140,9000,1
Sl_291,2016-05-25,04:08:50,,,2,461095,41,36,16,52,4224,1
Sl_291,2016-05-25,04:08:55,,,2,464416,42,47,43,90,3319,1
Sl_291,2016-05-25,04:08:58,,,2,475056,43,86,44,130,10639,1
Sl_291,2016-05-25,04:09:09,,,2,479182,44,95,51,146,4125,1
Sl_291,2016-05-25,04:09:13,,,2,486979,45,72,83,155,7797,1
Sl_291,2016-05-25,04:09:21,,,2,494207,46,93,63,156,7227,1
Sl_291,2016-05-25,04:09:28,,,2,503845,47,86,51,137,9637,1
Sl_291,2016-05-25,04:09:37,,,2,512145,48,25,76,101,8299,1
Sl_291,2016-05-25,04:09:46,,,2,517111,49,44,80,124,4965,1
Sl_291,2016-05-25,04:09:51,,,2,538048,50,69,82,151,20937,1
Sl_291,2016-05-25,04:10:12,,,2,541238,51,77,80,157,3189,1
Sl_291,2016-05-25,04:10:15,,,2,547680,52,35,81,116,6441,1
Sl_291,2016-05-25,04:10:21,,,2,552025,53,63,22,85,4344,1
Sl_291,2016-05-25,04:10:26,,,2,566093,54,74,93,167,14068,1
Sl_291,2016-05-25,04:10:40,,,2,586962,55,31,86,117,20868,1
Sl_291,2016-05-25,04:11:01,,,2,596357,56,12,60,72,9395,1
Sl_291,2016-05-25,04:11:10,,,2,599879,57,51,44,95,3522,1
