id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_112_Kväll,2015-03-09,22:18:16,1425935896838,1,10907,1,78,90,168,5240,1
SI_112_Kväll,2015-03-09,22:18:22,1425935896838,1,19558,2,84,58,142,8650,1
SI_112_Kväll,2015-03-09,22:18:30,1425935896838,1,27025,3,67,26,93,7467,1
SI_112_Kväll,2015-03-09,22:18:38,1425935896838,1,33862,4,59,91,150,6837,1
SI_112_Kväll,2015-03-09,22:18:45,1425935896838,1,39881,5,36,56,92,6019,1
SI_112_Kväll,2015-03-09,22:18:51,1425935896838,1,47949,6,91,48,139,8068,1
SI_112_Kväll,2015-03-09,22:18:59,1425935896838,1,56188,7,32,48,80,8239,1
SI_112_Kväll,2015-03-09,22:19:07,1425935896838,1,61078,8,13,79,92,4890,1
SI_112_Kväll,2015-03-09,22:19:12,1425935896838,1,67595,9,46,68,114,6517,1
SI_112_Kväll,2015-03-09,22:19:18,1425935896838,1,72312,10,91,66,157,4717,1
SI_112_Kväll,2015-03-09,22:19:23,1425935896838,1,76980,11,92,66,158,4668,1
SI_112_Kväll,2015-03-09,22:19:28,1425935896838,1,83065,12,46,55,101,6085,1
SI_112_Kväll,2015-03-09,22:19:34,1425935896838,1,88126,13,55,39,94,5061,1
SI_112_Kväll,2015-03-09,22:19:39,1425935896838,1,91417,14,26,31,57,3291,1
SI_112_Kväll,2015-03-09,22:19:42,1425935896838,1,96198,15,34,40,4,4781,0
SI_112_Kväll,2015-03-09,22:19:47,1425935896838,1,103937,16,34,79,113,7739,1
SI_112_Kväll,2015-03-09,22:19:55,1425935896838,1,117524,17,87,95,182,13587,1
SI_112_Kväll,2015-03-09,22:20:08,1425935896838,1,124667,18,94,95,189,7143,1
SI_112_Kväll,2015-03-09,22:20:15,1425935896838,1,126128,19,96,16,,1461,0
