id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_257,2016-03-01,11:37:40,,,3,298254,1,70,61,131,4710,1
SI_257,2016-03-01,11:37:45,,,3,303411,2,23,90,113,5155,1
SI_257,2016-03-01,11:37:50,,,3,313135,3,98,57,155,9722,1
SI_257,2016-03-01,11:38:00,,,3,320534,4,92,31,123,7398,1
SI_257,2016-03-01,11:38:07,,,3,324473,5,35,24,59,3937,1
SI_257,2016-03-01,11:38:11,,,3,334984,6,84,94,178,10510,1
SI_257,2016-03-01,11:38:22,,,3,347103,7,29,58,87,12118,1
SI_257,2016-03-01,11:38:34,,,3,352528,8,23,46,69,5423,1
SI_257,2016-03-01,11:38:39,,,3,357176,9,49,42,91,4646,1
SI_257,2016-03-01,11:38:44,,,3,367306,10,55,99,154,10129,1
SI_257,2016-03-01,11:38:54,,,3,374363,11,69,60,129,7056,1
SI_257,2016-03-01,11:39:01,,,3,382612,12,39,36,75,8247,1
SI_257,2016-03-01,11:39:09,,,3,388229,13,16,35,51,5617,1
SI_257,2016-03-01,11:39:15,,,3,391727,14,24,34,58,3498,1
SI_257,2016-03-01,11:39:18,,,3,396109,15,14,26,40,4380,1
SI_257,2016-03-01,11:39:23,,,3,399965,16,72,70,142,3854,1
SI_257,2016-03-01,11:39:27,,,3,403528,17,22,14,36,3561,1
SI_257,2016-03-01,11:39:30,,,3,407064,18,11,71,82,3534,1
SI_257,2016-03-01,11:39:34,,,3,413542,19,60,86,,6478,0
