id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_119,2015-03-24,12:36:28,1427196988991,4,401340,1,73,72,145,2739,1
SI_119,2015-03-24,12:36:31,1427196988991,4,404069,2,63,64,127,2729,1
SI_119,2015-03-24,12:36:34,1427196988991,4,408092,3,98,65,163,4023,1
SI_119,2015-03-24,12:36:38,1427196988991,4,412142,4,89,42,131,4050,1
SI_119,2015-03-24,12:36:42,1427196988991,4,415079,5,58,90,14,2937,0
SI_119,2015-03-24,12:36:45,1427196988991,4,419959,6,22,23,45,4880,1
SI_119,2015-03-24,12:36:50,1427196988991,4,426810,7,94,96,200,6851,0
SI_119,2015-03-24,12:36:57,1427196988991,4,438934,8,89,88,177,12124,1
SI_119,2015-03-24,12:37:09,1427196988991,4,444263,9,89,19,108,5329,1
SI_119,2015-03-24,12:37:14,1427196988991,4,448965,10,89,43,132,4702,1
SI_119,2015-03-24,12:37:19,1427196988991,4,452913,11,53,23,76,3948,1
SI_119,2015-03-24,12:37:23,1427196988991,4,456729,12,39,33,72,3816,1
SI_119,2015-03-24,12:37:27,1427196988991,4,460437,13,32,74,106,3708,1
SI_119,2015-03-24,12:37:30,1427196988991,4,464219,14,93,43,136,3782,1
SI_119,2015-03-24,12:37:34,1427196988991,4,469654,15,53,69,122,5435,1
SI_119,2015-03-24,12:37:40,1427196988991,4,472130,16,48,20,88,2476,0
SI_119,2015-03-24,12:37:42,1427196988991,4,475508,17,41,87,128,3378,1
SI_119,2015-03-24,12:37:45,1427196988991,4,479004,18,64,33,37,3496,0
SI_119,2015-03-24,12:37:49,1427196988991,4,482831,19,84,30,114,3827,1
SI_119,2015-03-24,12:37:53,1427196988991,4,487736,20,55,92,147,4905,1
SI_119,2015-03-24,12:37:58,1427196988991,4,491982,21,60,73,133,4246,1
SI_119,2015-03-24,12:38:02,1427196988991,4,495194,22,83,92,175,3212,1
SI_119,2015-03-24,12:38:05,1427196988991,4,498199,23,45,90,135,3005,1
SI_119,2015-03-24,12:38:08,1427196988991,4,501394,24,43,93,136,3195,1
SI_119,2015-03-24,12:38:11,1427196988991,4,504016,25,30,31,61,2621,1
SI_119,2015-03-24,12:38:14,1427196988991,4,507818,26,83,15,98,3801,1
SI_119,2015-03-24,12:38:18,1427196988991,4,512120,27,54,47,101,4302,1
SI_119,2015-03-24,12:38:22,1427196988991,4,516501,28,91,52,143,4380,1
SI_119,2015-03-24,12:38:26,1427196988991,4,518603,29,83,51,,2102,0
