id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
SI_135,2015-04-17,07:32:43,1429248763034,2,137519,1,16,11,27,4982,1
SI_135,2015-04-17,07:32:48,1429248763034,2,160907,2,96,71,167,23385,1
SI_135,2015-04-17,07:33:11,1429248763034,2,166652,3,20,76,96,5743,1
SI_135,2015-04-17,07:33:17,1429248763034,2,176948,4,49,51,100,10294,1
SI_135,2015-04-17,07:33:27,1429248763034,2,181720,5,90,30,120,4771,1
SI_135,2015-04-17,07:33:32,1429248763034,2,189766,6,75,95,170,8045,1
SI_135,2015-04-17,07:33:40,1429248763034,2,198306,7,34,45,79,8536,1
SI_135,2015-04-17,07:33:48,1429248763034,2,217798,8,71,44,115,19490,1
SI_135,2015-04-17,07:34:08,1429248763034,2,226707,9,36,55,91,8886,1
SI_135,2015-04-17,07:34:17,1429248763034,2,237911,10,56,49,105,11203,1
SI_135,2015-04-17,07:34:28,1429248763034,2,245265,11,93,95,188,7353,1
SI_135,2015-04-17,07:34:35,1429248763034,2,252565,12,57,41,,7299,0
