id,date,time,t0,order_of_test,time_start_battery,order_in_test,base1,base2,answer_m,time_m,correct
Sl_164_res,2015-06-08,23:22:28,1433798548168,4,466235,1,58,27,85,6705,1
Sl_164_res,2015-06-08,23:22:34,1433798548168,4,474684,2,82,33,115,8449,1
Sl_164_res,2015-06-08,23:22:43,1433798548168,4,481158,3,64,76,140,6473,1
Sl_164_res,2015-06-08,23:22:49,1433798548168,4,489333,4,16,97,113,8174,1
Sl_164_res,2015-06-08,23:22:57,1433798548168,4,495654,5,89,69,158,6321,1
Sl_164_res,2015-06-08,23:23:04,1433798548168,4,503926,6,73,49,142,8272,0
Sl_164_res,2015-06-08,23:23:12,1433798548168,4,510492,7,45,37,82,6566,1
Sl_164_res,2015-06-08,23:23:19,1433798548168,4,514895,8,23,57,80,4403,1
Sl_164_res,2015-06-08,23:23:23,1433798548168,4,521883,9,35,90,125,6988,1
Sl_164_res,2015-06-08,23:23:30,1433798548168,4,527995,10,81,92,173,6112,1
Sl_164_res,2015-06-08,23:23:36,1433798548168,4,533721,11,33,58,91,5726,1
Sl_164_res,2015-06-08,23:23:42,1433798548168,4,541728,12,58,84,142,8007,1
Sl_164_res,2015-06-08,23:23:50,1433798548168,4,549114,13,77,85,162,7385,1
Sl_164_res,2015-06-08,23:23:57,1433798548168,4,555702,14,13,28,41,6587,1
Sl_164_res,2015-06-08,23:24:04,1433798548168,4,561758,15,94,82,176,6056,1
Sl_164_res,2015-06-08,23:24:10,1433798548168,4,569586,16,69,36,115,7827,0
Sl_164_res,2015-06-08,23:24:18,1433798548168,4,574530,17,91,51,142,4944,1
Sl_164_res,2015-06-08,23:24:23,1433798548168,4,579098,18,12,74,86,4568,1
Sl_164_res,2015-06-08,23:24:27,1433798548168,4,579529,19,42,20,,431,0
