id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_305,2016-05-22,10:47:15,,,5,520634,1,1,7,3,15,7,8,1,14,10,,"2,2",1,2.067
Sl_305,2016-05-22,10:47:28,,,5,535497,2,2,7,7,5,6,16,10,13,14,,"10,6",0,4.02
Sl_305,2016-05-22,10:47:43,,,5,554265,3,3,7,4,15,9,7,6,10,13,,"4,1",1,7.926
Sl_305,2016-05-22,10:48:02,,,5,567697,4,4,7,1,13,14,8,12,5,2,,"6,2",1,1.807
Sl_305,2016-05-22,10:48:15,,,5,582647,5,5,7,6,3,8,1,14,16,15,,"8,3",1,4.11
Sl_305,2016-05-22,10:48:30,,,5,601981,6,6,7,3,13,1,14,6,16,12,,"1,3",1,8.491
Sl_305,2016-05-22,10:48:50,,,5,614864,7,7,7,2,14,10,8,13,4,9,,"5,7",1,2.035
Sl_305,2016-05-22,10:49:03,,,5,627047,8,8,7,16,11,4,6,8,7,13,,"5,6",1,1.34
Sl_305,2016-05-22,10:49:15,,,5,643681,9,9,7,8,16,10,12,9,15,3,,"8,1",1,5.794
Sl_305,2016-05-22,10:49:31,,,5,655597,10,10,7,16,14,11,5,2,3,6,,"16,1",1,1.077
