id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_231,2015-12-13,22:44:55,1450043095292,4,436939,1,1,7,11,10,4,9,16,5,2,,"11,1",1,2.021
SI_231,2015-12-13,22:45:08,1450043095292,4,451348,2,2,7,10,11,12,9,4,15,1,,"4,5",1,3.434
SI_231,2015-12-13,22:45:22,1450043095292,4,468346,3,3,7,4,3,2,15,10,6,8,,"15,4",1,6.038
SI_231,2015-12-13,22:45:39,1450043095292,4,480655,4,4,7,16,12,7,3,13,15,4,,"16,1",1,1.331
SI_231,2015-12-13,22:45:51,1450043095292,4,496282,5,5,7,11,16,7,8,4,5,6,,"7,3",1,4.685
SI_231,2015-12-13,22:46:07,1450043095292,4,509960,6,6,7,3,4,6,11,1,15,16,,"15,6",1,2.713
SI_231,2015-12-13,22:46:21,1450043095292,4,525388,7,7,7,5,13,7,3,10,2,6,,"5,1",1,4.484
SI_231,2015-12-13,22:46:36,1450043095292,4,537870,8,8,7,15,16,11,5,14,10,2,,"11,3",0,1.53
SI_231,2015-12-13,22:46:49,1450043095292,4,551586,9,9,7,2,3,5,6,10,12,8,,"11,3",1,2.773
SI_231,2015-12-13,22:47:02,1450043095292,4,569032,10,10,7,7,1,14,16,6,15,8,,"7,1",1,6.443
