id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_286,2016-05-04,14:46:49,,,4,424690,1,1,7,13,15,4,7,6,2,3,,"4,3",1,1.585
SI_286,2016-05-04,14:47:02,,,4,438208,2,2,7,15,1,12,13,9,14,11,,"13,1",1,2.669
SI_286,2016-05-04,14:47:15,,,4,452880,3,3,7,7,15,2,5,14,12,1,,"15,6",1,3.822
SI_286,2016-05-04,14:47:30,,,4,465779,4,4,7,16,12,13,14,4,11,7,,"13,3",1,2.044
SI_286,2016-05-04,14:47:43,,,4,477717,5,5,7,11,6,1,8,3,12,7,,"12,6",1,1.095
SI_286,2016-05-04,14:47:55,,,4,490130,6,6,7,12,13,14,6,3,15,7,,"15,6",1,1.557
SI_286,2016-05-04,14:48:07,,,4,506318,7,7,7,16,7,6,3,12,5,10,,"6,3",0,5.333
SI_286,2016-05-04,14:48:23,,,4,518879,8,8,7,2,7,5,9,16,11,15,,"9,2",0,1.71
SI_286,2016-05-04,14:48:36,,,4,531129,9,9,7,8,10,2,5,3,12,9,,"4,2",1,1.402
SI_286,2016-05-04,14:48:48,,,4,544118,10,10,7,8,15,10,14,2,6,7,,"10,3",1,2.147
