id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_281,2016-04-09,05:09:02,,,5,515220,1,1,7,5,9,12,10,15,2,1,,"1,7",1,0.951
SI_281,2016-04-09,05:09:14,,,5,530366,2,2,7,3,6,2,1,4,5,16,,"5,6",1,4.191
SI_281,2016-04-09,05:09:29,,,5,543714,3,3,7,4,14,11,16,9,3,10,,"4,1",0,2.383
SI_281,2016-04-09,05:09:42,,,5,557182,4,4,7,16,15,6,14,2,9,5,,"12,3",1,2.505
SI_281,2016-04-09,05:09:56,,,5,570189,5,5,7,6,13,9,14,10,5,16,,"16,7",1,2.056
SI_281,2016-04-09,05:10:09,,,5,582265,6,6,7,11,1,13,14,4,6,2,,"2,7",1,1.115
SI_281,2016-04-09,05:10:21,,,5,595248,7,7,7,14,10,2,11,5,1,13,,"10,3",1,2.002
SI_281,2016-04-09,05:10:34,,,5,607371,8,8,7,8,1,7,9,4,10,5,,"5,7",1,1.157
SI_281,2016-04-09,05:10:46,,,5,620193,9,9,7,12,2,3,14,15,16,8,,"1,1",1,1.854
SI_281,2016-04-09,05:10:59,,,5,632597,10,10,7,12,7,13,16,9,3,11,,"11,7",1,1.445
