id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_275,2016-03-23,15:33:58,,,5,566696,1,1,7,1,8,10,13,12,9,16,,"9,6",1,2.208
SI_275,2016-03-23,15:34:12,,,5,581760,2,2,7,13,2,3,9,8,10,4,,"3,6",1,4.133
SI_275,2016-03-23,15:34:27,,,5,595123,3,3,7,10,2,1,3,9,7,11,,"7,6",0,2.452
SI_275,2016-03-23,15:34:40,,,5,610266,4,4,7,16,7,12,10,5,1,15,,"3,4",0,4.226
SI_275,2016-03-23,15:34:55,,,5,622620,5,5,7,9,7,6,5,14,3,4,,"5,5",1,1.445
SI_275,2016-03-23,15:35:07,,,5,636111,6,6,7,1,13,6,9,12,11,4,,"9,2",1,2.557
SI_275,2016-03-23,15:35:21,,,5,651412,7,7,7,3,15,11,10,2,1,4,,"15,7",0,4.382
SI_275,2016-03-23,15:35:36,,,5,686241,8,8,7,11,9,2,12,8,14,13,,"4,7",0,23.897
SI_275,2016-03-23,15:36:11,,,5,698638,9,9,7,5,6,14,16,10,15,7,,"14,3",0,1.478
SI_275,2016-03-23,15:36:24,,,5,723694,10,10,7,16,2,3,15,1,7,12,,"14,3",0,14.14
