id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_285,2016-05-04,10:35:52,,,2,121446,1,1,7,1,10,7,12,9,15,5,,"4,6",1,1.405
SI_285,2016-05-04,10:36:04,,,2,133587,2,2,7,10,7,6,11,16,9,1,,"1,7",1,1.23
SI_285,2016-05-04,10:36:16,,,2,146154,3,3,7,13,2,7,8,14,15,5,,"9,3",1,1.686
SI_285,2016-05-04,10:36:29,,,2,158272,4,4,7,8,7,3,6,1,14,9,,"3,1",1,1.225
SI_285,2016-05-04,10:36:41,,,2,170392,5,5,7,10,13,6,7,12,2,15,,"13,2",1,1.23
SI_285,2016-05-04,10:36:53,,,2,183274,6,6,7,11,2,9,5,4,15,8,,"3,6",1,2.007
SI_285,2016-05-04,10:37:06,,,2,195548,7,7,7,15,12,6,13,9,8,10,,"13,4",1,1.384
SI_285,2016-05-04,10:37:18,,,2,207618,8,8,7,14,1,13,12,3,9,15,,"15,1",1,1.157
SI_285,2016-05-04,10:37:30,,,2,220080,9,9,7,5,11,15,6,14,2,3,,"11,4",0,1.565
SI_285,2016-05-04,10:37:43,,,2,232255,10,10,7,10,2,16,12,6,8,11,,"7,2",1,1.278
