id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_287,2016-05-21,14:37:23,,,3,263507,1,1,7,5,12,11,4,6,15,1,,"4,7",1,1.562
Sl_287,2016-05-21,14:37:35,,,3,275752,2,2,7,12,5,4,1,13,15,11,,"9,7",1,1.305
Sl_287,2016-05-21,14:37:48,,,3,292165,3,3,7,11,1,5,13,15,8,14,,"8,5",1,5.501
Sl_287,2016-05-21,14:38:04,,,3,304622,4,4,7,5,4,14,13,10,2,15,,"1,7",1,1.501
Sl_287,2016-05-21,14:38:17,,,3,318063,5,5,7,1,12,10,16,15,4,3,,"4,6",1,2.48
Sl_287,2016-05-21,14:38:30,,,3,335132,6,6,7,2,10,7,13,4,8,5,,"12,5",1,6.113
Sl_287,2016-05-21,14:38:47,,,3,348945,7,7,7,6,5,8,10,15,2,12,,"6,7",1,2.854
Sl_287,2016-05-21,14:39:01,,,3,361774,8,8,7,8,4,11,5,15,13,14,,"13,6",1,1.88
Sl_287,2016-05-21,14:39:14,,,3,374036,9,9,7,13,14,11,8,12,7,9,,"9,7",1,1.289
Sl_287,2016-05-21,14:39:26,,,3,386186,10,10,7,1,15,7,11,9,16,8,,"16,7",1,1.176
