id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_112_Morgon,2015-03-10,12:33:43,1425987223321,3,260339,1,1,7,13,16,4,9,15,14,5,,"14,7",1,1.069
SI_112_Morgon,2015-03-10,12:33:55,1425987223321,3,273605,2,2,7,9,11,1,13,4,3,12,,"16,1",1,2.426
SI_112_Morgon,2015-03-10,12:34:08,1425987223321,3,288972,3,3,7,14,13,16,7,15,5,10,,"2,3",1,4.527
SI_112_Morgon,2015-03-10,12:34:23,1425987223321,3,300874,4,4,7,8,11,12,1,16,15,3,,"3,7",1,1.065
SI_112_Morgon,2015-03-10,12:34:35,1425987223321,3,315542,5,5,7,1,13,16,9,2,7,3,,"13,5",1,3.813
SI_112_Morgon,2015-03-10,12:34:50,1425987223321,3,328592,6,6,7,3,14,7,16,6,1,2,,"7,7",1,2.208
SI_112_Morgon,2015-03-10,12:35:03,1425987223321,3,342860,7,7,7,6,1,4,13,15,11,16,,"13,4",1,3.431
SI_112_Morgon,2015-03-10,12:35:17,1425987223321,3,354950,8,8,7,2,6,13,1,7,11,14,,"8,5",1,1.252
SI_112_Morgon,2015-03-10,12:35:29,1425987223321,3,367146,9,9,7,6,16,5,15,1,11,13,,"3,3",1,1.36
SI_112_Morgon,2015-03-10,12:35:42,1425987223321,3,382063,10,10,7,16,9,1,10,12,7,15,,"9,4",0,4.066
