id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_218,2016-03-04,15:46:39,,,4,415951,1,1,7,8,13,1,6,5,9,10,,"12,1",1,1.926
SI_218,2016-03-04,15:46:53,,,4,430468,2,2,7,5,9,4,15,14,13,1,,"9,7",1,3.422
SI_218,2016-03-04,15:47:07,,,4,443331,3,3,7,5,7,14,8,13,10,2,,"6,1",1,1.81
SI_218,2016-03-04,15:47:20,,,4,456233,4,4,7,10,8,11,12,13,16,15,,"15,7",1,1.785
SI_218,2016-03-04,15:47:33,,,4,473441,5,5,7,10,14,16,9,13,11,15,,"14,5",0,6.161
SI_218,2016-03-04,15:47:50,,,4,489945,6,6,7,6,4,5,14,11,3,1,,"14,4",0,5.44
SI_218,2016-03-04,15:48:07,,,4,504250,7,7,7,13,14,4,15,3,6,8,,"8,4",1,3.256
SI_218,2016-03-04,15:48:21,,,4,517053,8,8,7,11,7,15,1,2,10,13,,"8,2",1,1.743
SI_218,2016-03-04,15:48:34,,,4,532175,9,9,7,13,10,4,5,8,9,15,,"14,5",1,3.983
SI_218,2016-03-04,15:48:49,,,4,544475,10,10,7,14,13,11,16,8,7,10,,"1,6",1,1.184
