id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_241,2016-01-26,12:42:26,1453808546073,5,635689,1,1,7,9,2,6,1,11,7,16,,"1,4",0,13.642
SI_241,2016-01-26,12:42:50,1453808546073,5,654562,2,2,7,12,15,2,4,7,5,13,,"7,5",0,7.987
SI_241,2016-01-26,12:43:09,1453808546073,5,668614,3,3,7,8,7,6,16,12,1,11,,"8,4",1,3.18
SI_241,2016-01-26,12:43:23,1453808546073,5,681415,4,4,7,5,15,8,3,10,4,1,,"8,3",1,1.947
SI_241,2016-01-26,12:43:36,1453808546073,5,695119,5,5,7,2,4,9,5,10,15,7,,"11,1",1,2.848
SI_241,2016-01-26,12:43:50,1453808546073,5,709848,6,6,7,15,2,8,13,7,10,4,,"1,7",1,3.872
SI_241,2016-01-26,12:44:04,1453808546073,5,722599,7,7,7,16,1,11,6,14,5,12,,"1,2",1,1.897
SI_241,2016-01-26,12:44:17,1453808546073,5,736969,8,8,7,3,12,9,7,16,13,15,,"13,6",1,3.485
SI_241,2016-01-26,12:44:31,1453808546073,5,750482,9,9,7,14,5,10,13,2,7,11,,"7,6",0,2.651
SI_241,2016-01-26,12:44:45,1453808546073,5,770715,10,10,7,8,4,9,10,14,1,11,,"10,4",1,9.355
