id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_198,2015-10-17,22:09:35,1445112575873,1,18151,1,1,7,11,10,12,4,5,14,13,,"15,3",1,1.642
Sl_198,2015-10-17,22:09:48,1445112575873,1,30510,2,2,7,16,3,7,15,9,8,4,,"5,7",1,1.516
Sl_198,2015-10-17,22:10:00,1445112575873,1,43842,3,3,7,14,3,6,2,12,4,7,,"3,2",1,2.484
Sl_198,2015-10-17,22:10:14,1445112575873,1,55860,4,4,7,15,9,7,16,5,12,2,,"7,7",1,1.175
Sl_198,2015-10-17,22:10:26,1445112575873,1,67943,5,5,7,3,12,9,8,6,2,1,,"1,7",1,1.238
Sl_198,2015-10-17,22:10:38,1445112575873,1,82810,6,6,7,15,12,1,10,5,16,4,,"1,3",1,4.019
Sl_198,2015-10-17,22:10:53,1445112575873,1,95043,7,7,7,8,11,5,1,10,3,7,,"3,6",1,1.376
Sl_198,2015-10-17,22:11:05,1445112575873,1,112163,8,8,7,11,1,13,8,2,16,15,,"1,2",1,6.28
Sl_198,2015-10-17,22:11:22,1445112575873,1,124040,9,9,7,12,10,4,6,13,5,8,,"8,7",1,1.032
Sl_198,2015-10-17,22:11:34,1445112575873,1,138043,10,10,7,4,11,9,8,1,10,14,,"12,4",1,3.159
