id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_290,2016-04-11,05:38:56,,,4,405178,1,1,7,2,6,15,9,4,14,12,,"6,6",1,1.383
Sl_290,2016-04-11,05:39:08,,,4,418205,2,2,7,4,1,16,14,7,13,10,,"10,7",1,2.121
Sl_290,2016-04-11,05:39:21,,,4,430863,3,3,7,9,13,15,5,11,8,6,,"5,4",1,1.778
Sl_290,2016-04-11,05:39:34,,,4,443616,4,4,7,15,8,9,1,16,14,6,,"5,1",1,1.867
Sl_290,2016-04-11,05:39:47,,,4,459417,5,5,7,11,13,8,7,9,4,14,,"8,3",1,4.917
Sl_290,2016-04-11,05:40:03,,,4,473523,6,6,7,6,15,11,14,10,12,1,,"1,5",1,3.208
Sl_290,2016-04-11,05:40:17,,,4,485987,7,7,7,4,15,3,9,7,11,14,,"12,1",1,1.57
Sl_290,2016-04-11,05:40:29,,,4,498576,8,8,7,15,9,1,6,12,8,16,,"13,4",1,1.68
Sl_290,2016-04-11,05:40:42,,,4,511093,9,9,7,8,5,14,1,12,3,2,,"16,3",1,1.626
Sl_290,2016-04-11,05:40:54,,,4,525493,10,10,7,14,13,8,9,3,11,5,,"8,3",1,3.498
