id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_282,2016-04-08,20:34:25,,,5,569743,1,1,7,10,2,3,6,14,9,13,,"9,6",1,5.561
SI_282,2016-04-08,20:34:42,,,5,583166,2,2,7,5,12,9,13,7,3,8,,"12,2",0,2.572
SI_282,2016-04-08,20:34:55,,,5,596377,3,3,7,9,7,16,3,10,13,11,,"8,7",1,2.355
SI_282,2016-04-08,20:35:08,,,5,609006,4,4,7,14,12,15,9,4,1,5,,"1,2",1,1.772
SI_282,2016-04-08,20:35:21,,,5,621536,5,5,7,7,10,16,4,1,11,15,,"8,4",0,1.676
SI_282,2016-04-08,20:35:34,,,5,635038,6,6,7,15,1,7,11,5,16,6,,"5,6",1,2.647
SI_282,2016-04-08,20:35:47,,,5,648180,7,7,7,13,2,5,8,9,12,4,,"2,2",1,2.295
SI_282,2016-04-08,20:36:00,,,5,661201,8,8,7,6,7,11,2,3,12,9,,"12,2",1,2.156
SI_282,2016-04-08,20:36:13,,,5,678315,9,9,7,11,10,15,7,14,3,2,,"1,7",1,6.256
SI_282,2016-04-08,20:36:30,,,5,691336,10,10,7,9,11,6,4,13,14,16,,"6,3",1,2.158
