id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_280,2016-05-09,14:36:48,,,1,21086,1,1,7,4,8,15,11,10,16,2,,"10,5",1,4.601
SI_280,2016-05-09,14:37:04,,,1,37330,2,2,7,7,14,6,11,16,5,3,,"6,5",0,5.411
SI_280,2016-05-09,14:37:20,,,1,50065,3,3,7,13,14,12,9,8,11,4,,"9,4",1,1.827
SI_280,2016-05-09,14:37:33,,,1,63847,4,4,7,4,7,15,16,13,12,6,,"7,2",1,2.774
SI_280,2016-05-09,14:37:46,,,1,79035,5,5,7,15,4,11,5,3,6,7,,"15,1",1,4.146
SI_280,2016-05-09,14:38:02,,,1,93550,6,6,7,8,16,4,13,6,2,1,,"14,2",0,3.555
SI_280,2016-05-09,14:38:16,,,1,110984,7,7,7,6,3,16,7,2,15,8,,"15,6",1,6.533
SI_280,2016-05-09,14:38:33,,,1,124235,8,8,7,7,15,5,16,4,1,8,,"11,5",1,2.26
SI_280,2016-05-09,14:38:47,,,1,144991,9,9,7,2,1,9,10,7,4,11,,"9,3",1,9.751
SI_280,2016-05-09,14:39:07,,,1,158399,10,10,7,1,16,12,10,4,13,5,,"5,7",1,2.358
