id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_305,2016-05-22,15:08:28,,,4,438233,1,1,7,15,3,1,14,7,16,4,,"14,3",0,12.361
Sl_305,2016-05-22,15:08:51,,,4,451847,2,2,7,4,16,14,8,11,5,13,,"14,4",1,2.765
Sl_305,2016-05-22,15:09:04,,,4,464063,3,3,7,4,9,7,11,3,15,5,,"4,4",1,1.378
Sl_305,2016-05-22,15:09:17,,,4,476203,4,4,7,10,3,6,2,4,8,5,,"5,7",1,1.3
Sl_305,2016-05-22,15:09:29,,,4,488499,5,5,7,8,14,11,6,12,4,10,,"10,7",1,1.45
Sl_305,2016-05-22,15:09:41,,,4,501963,6,6,7,9,4,10,14,3,15,16,,"14,4",1,2.616
Sl_305,2016-05-22,15:09:55,,,4,514046,7,7,7,13,10,1,3,14,15,7,,"2,3",1,1.234
Sl_305,2016-05-22,15:10:07,,,4,527313,8,8,7,8,10,7,13,2,16,4,,"2,5",1,2.426
Sl_305,2016-05-22,15:10:20,,,4,540281,9,9,7,8,4,10,2,7,9,1,,"9,7",1,2.129
Sl_305,2016-05-22,15:10:33,,,4,552163,10,10,7,10,7,2,15,4,11,13,,"1,6",1,1.036
