id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_247,2016-02-18,07:33:56,1455777236823,1,18083,1,1,7,7,10,15,1,6,9,16,,"7,1",1,1.544
SI_247,2016-02-18,07:34:09,1455777236823,1,33195,2,2,7,8,12,3,6,14,9,1,,"6,2",1,4.094
SI_247,2016-02-18,07:34:24,1455777236823,1,47199,3,3,7,10,8,9,2,11,16,4,,"2,6",1,3.018
SI_247,2016-02-18,07:34:38,1455777236823,1,59790,4,4,7,11,5,12,8,4,16,7,,"1,4",1,1.655
SI_247,2016-02-18,07:34:50,1455777236823,1,72497,5,5,7,12,8,13,2,14,11,4,,"12,1",1,1.726
SI_247,2016-02-18,07:35:03,1455777236823,1,84719,6,6,7,5,6,9,13,1,7,11,,"5,1",1,1.234
SI_247,2016-02-18,07:35:15,1455777236823,1,98127,7,7,7,7,4,1,3,5,15,6,,"4,6",1,2.32
SI_247,2016-02-18,07:35:29,1455777236823,1,112856,8,8,7,11,1,2,10,4,9,6,,"11,2",0,3.776
SI_247,2016-02-18,07:35:44,1455777236823,1,125981,9,9,7,2,4,6,15,3,16,1,,"15,4",1,2.14
SI_247,2016-02-18,07:35:57,1455777236823,1,138162,10,10,7,10,3,12,7,4,9,8,,"9,6",1,1.225
