id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_269,2016-03-15,05:55:19,,,5,551043,1,1,7,10,12,2,7,8,5,1,,"5,4",1,1.663
SI_269,2016-03-15,05:55:32,,,5,563169,2,2,7,6,4,11,13,14,1,10,,"4,2",1,1.28
SI_269,2016-03-15,05:55:44,,,5,575252,3,3,7,15,13,7,9,6,16,4,,"2,7",1,1.233
SI_269,2016-03-15,05:55:56,,,5,587319,4,4,7,1,15,11,12,3,2,14,,"3,5",0,1.222
SI_269,2016-03-15,05:56:08,,,5,601219,5,5,7,15,3,9,12,4,11,16,,"15,1",1,3.057
SI_269,2016-03-15,05:56:22,,,5,613152,6,6,7,13,6,8,3,9,7,16,,"4,7",1,1.087
SI_269,2016-03-15,05:56:34,,,5,626927,7,7,7,13,9,5,7,15,14,16,,"15,3",1,2.93
SI_269,2016-03-15,05:56:48,,,5,639746,8,8,7,15,5,9,7,8,11,16,,"1,2",1,1.983
SI_269,2016-03-15,05:57:00,,,5,651767,9,9,7,7,16,6,4,15,11,13,,"12,1",1,1.175
SI_269,2016-03-15,05:57:12,,,5,664467,10,10,7,1,9,13,12,14,15,16,,"14,5",1,1.853
