id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_291,2016-05-25,14:29:34,,,2,118039,1,1,7,11,16,7,5,13,6,14,,"14,7",1,1.372
Sl_291,2016-05-25,14:29:47,,,2,129701,2,2,7,1,4,7,8,9,2,14,,"2,6",1,0.717
Sl_291,2016-05-25,14:29:58,,,2,141628,3,3,7,6,9,11,7,2,1,16,,"2,2",0,0.989
Sl_291,2016-05-25,14:30:10,,,2,154227,4,4,7,4,2,15,1,16,7,6,,"1,6",1,1.661
Sl_291,2016-05-25,14:30:23,,,2,167060,5,5,7,2,8,9,10,12,3,5,,"5,7",0,1.895
Sl_291,2016-05-25,14:30:36,,,2,178744,6,6,7,16,15,13,9,8,10,6,,"2,6",0,0.732
Sl_291,2016-05-25,14:30:47,,,2,191012,7,7,7,9,16,5,12,4,13,2,,"9,1",1,1.351
Sl_291,2016-05-25,14:31:00,,,2,203055,8,8,7,13,14,12,6,9,16,4,,"5,5",0,1.096
Sl_291,2016-05-25,14:31:12,,,2,215079,9,9,7,7,12,15,14,16,1,4,,"1,6",0,1.096
Sl_291,2016-05-25,14:31:24,,,2,227069,10,10,7,5,1,15,8,11,6,16,,"15,3",0,1.084
