id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_291,2016-05-24,20:35:04,,,2,157844,1,1,7,4,14,7,12,15,5,8,,"7,3",1,2.917
Sl_291,2016-05-24,20:35:18,,,2,171389,2,2,7,3,6,1,9,14,5,16,,"8,1",1,2.596
Sl_291,2016-05-24,20:35:32,,,2,247788,3,3,7,9,3,4,6,10,11,15,,"6,7",1,2.696
Sl_291,2016-05-24,20:36:48,,,2,264510,4,4,7,4,13,16,12,14,11,6,,"14,5",1,5.779
Sl_291,2016-05-24,20:37:05,,,2,277532,5,5,7,10,9,1,12,7,2,14,,"14,7",0,2.045
Sl_291,2016-05-24,20:37:18,,,2,290353,6,6,7,9,15,4,5,6,13,8,,"7,6",0,1.886
Sl_291,2016-05-24,20:37:31,,,2,303103,7,7,7,16,3,4,15,6,7,5,,"16,1",1,1.786
Sl_291,2016-05-24,20:37:43,,,2,315831,8,8,7,7,9,11,8,2,14,6,,"9,2",1,1.778
Sl_291,2016-05-24,20:37:56,,,2,328092,9,9,7,13,11,14,15,12,10,4,,"14,4",0,1.324
Sl_291,2016-05-24,20:38:08,,,2,341368,10,10,7,4,5,1,9,13,2,14,,"16,3",1,2.31
