id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_178,2015-10-13,17:22:42,1444749762888,4,426062,1,1,7,13,9,8,11,6,2,16,,"6,4",0,1.82
SI_178,2015-10-13,17:22:55,1444749762888,4,440668,2,2,7,6,16,9,12,13,2,11,,"13,5",0,3.749
SI_178,2015-10-13,17:23:10,1444749762888,4,456760,3,3,7,15,12,11,5,2,6,13,,"3,6",1,5.232
SI_178,2015-10-13,17:23:26,1444749762888,4,469585,4,4,7,10,13,12,4,5,8,14,,"4,7",1,1.973
SI_178,2015-10-13,17:23:39,1444749762888,4,485213,5,5,7,16,4,9,1,14,10,15,,"6,1",0,4.767
SI_178,2015-10-13,17:23:54,1444749762888,4,497489,6,6,7,13,9,7,15,1,5,11,,"11,7",1,1.42
SI_178,2015-10-13,17:24:07,1444749762888,4,510634,7,7,7,11,16,5,12,15,7,13,,"11,7",1,2.299
SI_178,2015-10-13,17:24:20,1444749762888,4,523571,8,8,7,12,10,14,6,15,1,3,,"3,7",1,2.081
SI_178,2015-10-13,17:24:33,1444749762888,4,537071,9,9,7,2,6,5,12,16,15,8,,"12,4",1,2.652
SI_178,2015-10-13,17:24:46,1444749762888,4,549843,10,10,7,8,10,3,12,11,6,16,,"5,2",0,1.922
