id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_305,2016-05-21,21:47:50,,,4,450864,1,1,7,11,3,14,7,8,9,15,,"11,1",1,1.409
Sl_305,2016-05-21,21:48:02,,,4,463761,2,2,7,11,8,6,13,3,1,10,,"11,4",1,2.043
Sl_305,2016-05-21,21:48:15,,,4,483361,3,3,7,14,11,1,12,10,7,3,,"7,6",1,8.748
Sl_305,2016-05-21,21:48:34,,,4,496411,4,4,7,1,13,5,16,2,7,3,,"3,6",1,2.209
Sl_305,2016-05-21,21:48:48,,,4,508494,5,5,7,1,11,3,7,8,12,14,,"16,4",1,1.242
Sl_305,2016-05-21,21:49:00,,,4,523244,6,6,7,7,2,4,1,8,10,3,,"7,1",1,3.91
Sl_305,2016-05-21,21:49:14,,,4,538227,7,7,7,11,10,3,12,13,15,1,,"3,2",0,4.144
Sl_305,2016-05-21,21:49:29,,,4,550044,8,8,7,6,8,13,2,7,3,16,,"16,7",1,0.977
Sl_305,2016-05-21,21:49:41,,,4,562744,9,9,7,10,2,8,16,5,15,6,,"8,3",1,1.861
Sl_305,2016-05-21,21:49:54,,,4,575044,10,10,7,14,6,8,9,4,15,12,,"6,2",1,1.46
