id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_291,2016-05-25,10:41:11,,,4,389473,1,1,7,6,3,16,10,9,2,11,,"3,2",0,2.066
Sl_291,2016-05-25,10:41:24,,,4,402216,2,2,7,15,4,13,9,1,14,10,,"12,1",0,1.787
Sl_291,2016-05-25,10:41:36,,,4,414354,3,3,7,8,3,2,5,4,9,10,,"6,4",0,1.195
Sl_291,2016-05-25,10:41:49,,,4,426646,4,4,7,6,12,11,1,14,16,10,,"12,2",0,1.346
Sl_291,2016-05-25,10:42:01,,,4,438961,5,5,7,1,5,12,9,14,6,15,,"1,5",0,1.377
Sl_291,2016-05-25,10:42:13,,,4,450853,6,6,7,10,14,4,13,15,16,7,,"2,4",0,0.935
Sl_291,2016-05-25,10:42:25,,,4,462578,7,7,7,2,8,16,4,10,12,15,,"15,7",0,0.787
Sl_291,2016-05-25,10:42:37,,,4,475027,8,8,7,11,4,14,10,15,9,5,,"13,7",0,1.512
Sl_291,2016-05-25,10:42:49,,,4,487234,9,9,7,12,13,7,8,5,1,11,,"12,1",1,1.267
Sl_291,2016-05-25,10:43:01,,,4,499206,10,10,7,11,5,6,16,4,9,10,,"10,7",1,1.014
