id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_285,2016-05-04,05:36:03,,,5,541299,1,1,7,4,16,13,2,3,11,15,,"16,2",1,1.309
SI_285,2016-05-04,05:36:15,,,5,556736,2,2,7,6,5,12,4,3,14,11,,"14,6",0,4.529
SI_285,2016-05-04,05:36:30,,,5,568798,3,3,7,7,1,16,9,5,2,3,,"1,2",1,1.19
SI_285,2016-05-04,05:36:42,,,5,582361,4,4,7,8,9,5,15,10,1,3,,"7,1",1,2.645
SI_285,2016-05-04,05:36:56,,,5,595201,5,5,7,3,15,7,2,5,4,16,,"4,7",1,1.959
SI_285,2016-05-04,05:37:09,,,5,607677,6,6,7,16,10,8,11,2,12,13,,"13,5",1,1.576
SI_285,2016-05-04,05:37:21,,,5,620451,7,7,7,12,11,4,10,8,1,2,,"1,6",1,1.386
SI_285,2016-05-04,05:37:34,,,5,633938,8,8,7,15,1,6,14,10,13,8,,"6,3",0,2.594
SI_285,2016-05-04,05:37:48,,,5,645982,9,9,7,15,10,8,16,7,6,12,,"15,1",1,1.134
SI_285,2016-05-04,05:38:00,,,5,658118,10,10,7,1,9,10,16,2,7,8,,"8,7",1,1.23
