id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_272,2016-04-13,20:41:10,,,2,161469,1,1,7,5,9,14,10,7,6,16,,"10,4",1,2.941
SI_272,2016-04-13,20:41:24,,,2,173761,2,2,7,3,6,5,2,14,13,9,,"7,7",1,1.317
SI_272,2016-04-13,20:41:36,,,2,187058,3,3,7,1,5,6,2,11,7,10,,"5,2",1,2.295
SI_272,2016-04-13,20:41:50,,,2,199622,4,4,7,10,4,11,14,16,7,9,,"11,2",0,1.575
SI_272,2016-04-13,20:42:02,,,2,211649,5,5,7,7,6,5,12,11,16,3,,"3,7",1,1.07
SI_272,2016-04-13,20:42:14,,,2,225292,6,6,7,1,6,16,14,12,15,8,,"12,3",1,2.672
SI_272,2016-04-13,20:42:28,,,2,237412,7,7,7,2,5,7,8,12,1,10,,"7,6",1,1.151
SI_272,2016-04-13,20:42:40,,,2,251022,8,8,7,4,7,12,2,14,3,5,,"11,6",1,2.603
SI_272,2016-04-13,20:42:54,,,2,263807,9,9,7,5,3,12,1,9,2,15,,"3,2",1,1.808
SI_272,2016-04-13,20:43:07,,,2,276629,10,10,7,12,5,15,7,11,2,8,,"7,6",1,1.841
