id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_164_res,2015-06-09,12:28:55,1433845735970,1,19120,1,1,7,14,12,4,15,6,8,1,,"8,6",1,2.676
Sl_164_res,2015-06-09,12:29:09,1433845735970,1,32512,2,2,7,4,8,15,1,11,10,14,,"7,1",1,2.578
Sl_164_res,2015-06-09,12:29:22,1433845735970,1,46519,3,3,7,1,8,9,13,4,14,2,,"4,6",1,3.195
Sl_164_res,2015-06-09,12:29:36,1433845735970,1,60831,4,4,7,5,12,16,8,3,10,13,,"9,3",1,3.498
Sl_164_res,2015-06-09,12:29:51,1433845735970,1,74086,5,5,7,5,2,11,12,6,16,9,,"14,6",1,2.442
Sl_164_res,2015-06-09,12:30:04,1433845735970,1,86550,6,6,7,12,14,7,9,5,15,13,,"12,1",1,1.65
Sl_164_res,2015-06-09,12:30:16,1433845735970,1,99414,7,7,7,1,10,9,13,8,6,2,,"13,4",1,2.053
Sl_164_res,2015-06-09,12:30:29,1433845735970,1,112453,8,8,7,12,13,2,16,4,5,6,,"15,3",1,2.225
Sl_164_res,2015-06-09,12:30:42,1433845735970,1,125037,9,9,7,16,15,12,4,6,8,2,,"14,2",1,1.775
Sl_164_res,2015-06-09,12:30:55,1433845735970,1,148956,10,10,7,6,11,14,8,4,12,2,,"8,4",0,13.107
