id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_305,2016-05-22,06:06:40,,,2,161131,1,1,7,12,4,14,2,3,11,8,,"14,3",1,1.939
Sl_305,2016-05-22,06:06:53,,,2,173744,2,2,7,13,9,4,3,1,11,10,,"10,2",1,1.763
Sl_305,2016-05-22,06:07:05,,,2,186326,3,3,7,11,2,6,7,9,16,14,,"14,7",1,1.732
Sl_305,2016-05-22,06:07:18,,,2,208711,4,4,7,10,6,3,4,9,5,15,,"4,4",0,11.537
Sl_305,2016-05-22,06:07:40,,,2,220911,5,5,7,3,15,14,13,9,10,6,,"10,6",1,1.355
Sl_305,2016-05-22,06:07:53,,,2,233561,6,6,7,10,1,16,2,7,8,14,,"9,5",1,1.807
Sl_305,2016-05-22,06:08:05,,,2,247317,7,7,7,9,15,13,2,16,5,10,,"14,1",0,2.917
Sl_305,2016-05-22,06:08:19,,,2,265811,8,8,7,11,13,12,9,6,3,8,,"9,5",1,7.652
Sl_305,2016-05-22,06:08:37,,,2,289011,9,9,7,10,5,3,4,9,11,6,,"14,1",0,12.361
Sl_305,2016-05-22,06:09:01,,,2,301762,10,10,7,7,13,15,8,12,1,11,,"12,5",1,1.911
