id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_264,2016-03-29,20:40:09,,,2,159298,1,1,7,14,12,16,6,3,13,2,,"15,7",1,1.337
SI_264,2016-03-29,20:40:21,,,2,171418,2,2,7,15,5,11,12,6,2,10,,"16,6",1,1.263
SI_264,2016-03-29,20:40:34,,,2,184831,3,3,7,6,9,7,10,14,15,2,,"5,4",1,2.526
SI_264,2016-03-29,20:40:47,,,2,198977,4,4,7,15,2,1,12,6,11,4,,"10,2",1,3.292
SI_264,2016-03-29,20:41:01,,,2,211145,5,5,7,2,4,16,10,3,11,6,,"14,6",1,1.328
SI_264,2016-03-29,20:41:13,,,2,223616,6,6,7,4,3,1,11,2,15,9,,"2,5",1,1.612
SI_264,2016-03-29,20:41:26,,,2,236226,7,7,7,15,16,9,14,12,6,11,,"16,2",0,1.766
SI_264,2016-03-29,20:41:38,,,2,249523,8,8,7,14,13,10,8,4,5,9,,"5,6",1,2.443
SI_264,2016-03-29,20:41:52,,,2,261850,9,9,7,7,8,10,9,5,3,1,,"13,6",1,1.47
SI_264,2016-03-29,20:42:04,,,2,275876,10,10,7,12,11,7,15,2,16,13,,"2,5",1,3.17
