id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_188,2015-10-12,12:39:04,1444646344387,1,17966,1,1,7,1,12,16,9,8,6,4,,"16,3",1,1.271
SI_188,2015-10-12,12:39:16,1444646344387,1,30558,2,2,7,2,9,7,6,12,11,8,,"5,5",1,1.561
SI_188,2015-10-12,12:39:29,1444646344387,1,42724,3,3,7,16,15,2,10,1,4,5,,"14,2",1,1.145
SI_188,2015-10-12,12:39:41,1444646344387,1,54970,4,4,7,9,13,3,7,10,8,5,,"1,6",1,1.171
SI_188,2015-10-12,12:39:53,1444646344387,1,67252,5,5,7,13,7,8,6,9,10,11,,"9,5",1,1.195
SI_188,2015-10-12,12:40:05,1444646344387,1,79382,6,6,7,11,2,15,9,13,4,7,,"6,3",1,1.068
SI_188,2015-10-12,12:40:18,1444646344387,1,91692,7,7,7,5,12,9,2,13,8,4,,"5,5",1,1.272
SI_188,2015-10-12,12:40:30,1444646344387,1,105481,8,8,7,15,14,9,4,11,16,10,,"14,2",1,2.719
SI_188,2015-10-12,12:40:44,1444646344387,1,118571,9,9,7,2,6,13,14,9,1,15,,"2,2",0,1.986
SI_188,2015-10-12,12:40:57,1444646344387,1,131919,10,10,7,8,1,3,4,13,9,12,,"1,2",1,2.265
