id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_290,2016-04-11,14:17:23,,,1,20366,1,1,7,12,1,16,7,13,14,15,,"13,5",1,3.798
Sl_290,2016-04-11,14:17:37,,,1,32628,2,2,7,2,13,14,10,11,1,6,,"16,7",1,1.378
Sl_290,2016-04-11,14:17:49,,,1,45105,3,3,7,14,4,12,2,6,5,1,,"3,7",1,1.577
Sl_290,2016-04-11,14:18:02,,,1,58738,4,4,7,6,14,10,16,4,7,9,,"14,2",1,2.731
Sl_290,2016-04-11,14:18:16,,,1,71041,5,5,7,4,14,11,12,13,3,9,,"1,3",1,1.42
Sl_290,2016-04-11,14:18:28,,,1,83379,6,6,7,6,4,10,14,13,7,16,,"8,7",1,1.437
Sl_290,2016-04-11,14:18:40,,,1,96413,7,7,7,12,2,7,5,1,10,16,,"8,3",1,2.142
Sl_290,2016-04-11,14:18:53,,,1,111143,8,8,7,16,13,9,14,10,1,12,,"14,4",1,3.843
Sl_290,2016-04-11,14:19:08,,,1,125459,9,9,7,14,11,6,13,5,12,7,,"5,5",1,3.43
Sl_290,2016-04-11,14:19:22,,,1,137679,10,10,7,7,2,5,15,12,8,9,,"9,7",1,1.333
