id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
Sl_287,2016-05-20,20:48:48,,,1,17719,1,1,7,4,13,7,5,10,1,8,,"13,2",1,1.139
Sl_287,2016-05-20,20:49:00,,,1,30563,2,2,7,4,13,16,1,3,14,12,,"12,3",1,1.884
Sl_287,2016-05-20,20:49:13,,,1,42935,3,3,7,14,11,6,5,3,10,4,,"3,5",1,1.446
Sl_287,2016-05-20,20:49:26,,,1,56312,4,4,7,12,8,5,15,6,13,2,,"6,1",1,2.401
Sl_287,2016-05-20,20:49:39,,,1,70973,5,5,7,13,15,16,12,8,6,2,,"2,7",1,3.681
Sl_287,2016-05-20,20:49:54,,,1,87719,6,6,7,8,15,6,14,16,3,2,,"6,3",1,5.786
Sl_287,2016-05-20,20:50:10,,,1,102302,7,7,7,14,16,3,1,4,9,10,,"15,1",1,3.631
Sl_287,2016-05-20,20:50:25,,,1,114622,8,8,7,5,16,12,9,15,2,6,,"6,7",1,1.37
Sl_287,2016-05-20,20:50:37,,,1,126794,9,9,7,4,15,9,7,13,16,14,,"4,1",1,1.225
Sl_287,2016-05-20,20:50:50,,,1,140940,10,10,7,2,14,8,16,12,13,15,,"16,4",1,3.237
