id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_278,2016-05-09,20:23:01,,,4,427372,1,1,7,4,5,15,12,1,8,3,,"11,1",1,1.614
SI_278,2016-05-09,20:23:13,,,4,441390,2,2,7,1,10,14,6,8,16,4,,"5,1",0,3.018
SI_278,2016-05-09,20:23:27,,,4,455089,3,3,7,16,8,2,13,4,12,3,,"8,2",0,2.668
SI_278,2016-05-09,20:23:41,,,4,467623,4,4,7,5,7,16,14,6,8,11,,"11,7",1,1.529
SI_278,2016-05-09,20:23:54,,,4,480109,5,5,7,13,9,2,7,8,16,1,,"13,1",1,1.463
SI_278,2016-05-09,20:24:06,,,4,492502,6,6,7,14,3,5,6,15,13,1,,"1,7",1,1.357
SI_278,2016-05-09,20:24:18,,,4,507195,7,7,7,11,16,8,2,10,5,15,,"8,3",1,3.663
SI_278,2016-05-09,20:24:33,,,4,522070,8,8,7,5,2,14,12,6,1,15,,"2,2",0,3.848
SI_278,2016-05-09,20:24:48,,,4,535032,9,9,7,2,13,14,1,12,10,16,,"16,7",1,1.965
SI_278,2016-05-09,20:25:01,,,4,547907,10,10,7,14,16,3,8,9,4,1,,"10,2",1,1.902
