id,date,time,t0,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_232,2016-01-27,07:56:02,1453877762879,2,164062,1,p,1,736,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:06,1453877762879,2,167966,2,p,1,565,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:10,1453877762879,2,171207,3,p,1,551,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:13,1453877762879,2,173853,4,p,1,624,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:15,1453877762879,2,176673,5,p,1,639,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:18,1453877762879,2,179850,6,p,1,517,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:21,1453877762879,2,183738,7,p,1,614,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:25,1453877762879,2,188492,8,p,1,554,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:30,1453877762879,2,191647,9,p,1,574,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:33,1453877762879,2,194603,10,p,1,531,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:36,1453877762879,2,199921,11,p,1,552,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:42,1453877762879,2,203343,12,p,1,689,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:45,1453877762879,2,208258,13,p,1,606,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:50,1453877762879,2,213422,14,p,1,585,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:55,1453877762879,2,216412,15,p,1,659,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:56:58,1453877762879,2,219411,16,p,1,607,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:01,1453877762879,2,224186,17,p,1,562,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:06,1453877762879,2,230279,18,p,1,1226,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:12,1453877762879,2,235798,19,p,1,564,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:17,1453877762879,2,239738,20,p,1,634,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:21,1453877762879,2,243274,21,p,1,581,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:25,1453877762879,2,246185,22,p,1,679,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:28,1453877762879,2,249183,23,p,1,592,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:31,1453877762879,2,254659,24,p,1,656,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:36,1453877762879,2,257537,25,p,1,669,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:39,1453877762879,2,260623,26,p,1,619,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:42,1453877762879,2,264053,27,p,1,541,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:46,1453877762879,2,268137,28,p,1,581,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:50,1453877762879,2,273004,29,p,1,616,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:57:55,1453877762879,2,278414,30,p,1,593,,623.866666667,599.5,124.655036645
SI_232,2016-01-27,07:58:00,1453877762879,2,280865,31,p,0,,,623.866666667,599.5,124.655036645
