id,date,time,t0,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_195,2015-10-26,16:34:30,1445873670194,4,405629,1,p,1,518,1,530.333333333,457,178.274852621
SI_195,2015-10-26,16:34:33,1445873670194,4,409941,2,p,1,427,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:34:38,1445873670194,4,415126,3,p,1,410,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:34:43,1445873670194,4,420062,4,p,1,1021,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:34:48,1445873670194,4,425325,5,p,1,523,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:34:53,1445873670194,4,431055,6,p,1,983,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:34:59,1445873670194,4,434140,7,p,1,459,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:02,1445873670194,4,438979,8,p,1,996,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:07,1445873670194,4,443215,9,p,1,442,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:11,1445873670194,4,446011,10,p,1,528,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:14,1445873670194,4,449471,11,p,1,426,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:17,1445873670194,4,454867,12,p,1,456,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:23,1445873670194,4,457667,13,p,1,632,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:25,1445873670194,4,461669,14,p,1,370,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:29,1445873670194,4,465235,15,p,1,424,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:33,1445873670194,4,469587,16,p,1,494,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:37,1445873670194,4,473729,17,p,1,428,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:42,1445873670194,4,478989,18,p,1,457,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:47,1445873670194,4,484140,19,p,1,555,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:52,1445873670194,4,489002,20,p,1,441,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:35:57,1445873670194,4,494012,21,p,1,475,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:36:02,1445873670194,4,496755,22,p,1,578,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:36:05,1445873670194,4,500971,23,p,1,433,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:36:09,1445873670194,4,506105,24,p,1,447,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:36:14,1445873670194,4,510085,25,p,1,442,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:36:18,1445873670194,4,515217,26,p,1,457,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:36:23,1445873670194,4,519602,27,p,1,497,,530.333333333,457,178.274852621
SI_195,2015-10-26,16:36:27,1445873670194,4,522060,28,p,0,,,530.333333333,457,178.274852621
