id,date,time,t0,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_120,2015-03-24,07:50:27,1427179827938,2,159522,1,p,1,821,,608.666666667,522,196.454173853
SI_120,2015-03-24,07:50:31,1427179827938,2,163671,2,p,1,497,1,608.666666667,522,196.454173853
SI_120,2015-03-24,07:50:35,1427179827938,2,169708,3,p,1,1050,,608.666666667,522,196.454173853
SI_120,2015-03-24,07:50:41,1427179827938,2,173633,4,p,1,534,,608.666666667,522,196.454173853
SI_120,2015-03-24,07:50:45,1427179827938,2,177649,5,p,1,520,1,608.666666667,522,196.454173853
SI_120,2015-03-24,07:50:49,1427179827938,2,180679,6,p,1,488,1,608.666666667,522,196.454173853
SI_120,2015-03-24,07:50:52,1427179827938,2,187160,7,p,1,764,1,608.666666667,522,196.454173853
SI_120,2015-03-24,07:50:59,1427179827938,2,191865,8,p,1,438,,608.666666667,522,196.454173853
SI_120,2015-03-24,07:51:03,1427179827938,2,198762,9,p,1,780,1,608.666666667,522,196.454173853
SI_120,2015-03-24,07:51:10,1427179827938,2,203564,10,p,1,524,1,608.666666667,522,196.454173853
SI_120,2015-03-24,07:51:15,1427179827938,2,209944,11,p,1,434,1,608.666666667,522,196.454173853
SI_120,2015-03-24,07:51:22,1427179827938,2,214270,12,p,1,454,1,608.666666667,522,196.454173853
SI_120,2015-03-24,07:51:26,1427179827938,2,215910,13,p,0,,1,608.666666667,522,196.454173853
