id,date,time,t0,order_of_test,time_start_battery,order_in_test,order,no_grids,grid1,grid2,grid3,grid4,grid5,grid6,grid7,grid8,pres_grid,correct,response_time
SI_139,2015-04-21,07:44:42,1429595082673,5,567410,1,1,7,1,8,15,12,11,13,3,,"15,3",1,2.265
SI_139,2015-04-21,07:44:55,1429595082673,5,580714,2,2,7,15,7,13,8,16,5,14,,"14,7",1,2.443
SI_139,2015-04-21,07:45:09,1429595082673,5,594015,3,3,7,3,12,1,7,11,13,15,,"12,4",1,2.435
SI_139,2015-04-21,07:45:22,1429595082673,5,607527,4,4,7,4,11,3,13,2,9,14,,"4,1",1,2.659
SI_139,2015-04-21,07:45:35,1429595082673,5,625252,5,5,7,9,4,15,5,11,12,16,,"5,4",1,6.866
SI_139,2015-04-21,07:45:53,1429595082673,5,639626,6,6,7,4,5,2,3,6,14,7,,"8,3",0,3.508
SI_139,2015-04-21,07:46:08,1429595082673,5,654204,7,7,7,4,13,7,14,6,11,1,,"3,5",0,3.718
SI_139,2015-04-21,07:46:22,1429595082673,5,668514,8,8,7,10,5,1,13,2,16,15,,"16,6",1,3.454
SI_139,2015-04-21,07:46:36,1429595082673,5,683687,9,9,7,15,2,3,4,1,11,12,,"16,4",1,4.313
SI_139,2015-04-21,07:46:52,1429595082673,5,699716,10,10,7,12,6,9,13,5,10,14,,"9,3",0,5.168
