id,date,time,t0,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_102,2015-02-20,16:38:38,1424446718992,1,9208,1,p,1,416,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:38:42,1424446718992,1,12818,2,p,1,381,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:38:46,1424446718992,1,16150,3,p,1,347,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:38:49,1424446718992,1,18683,4,p,1,397,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:38:52,1424446718992,1,22799,5,p,1,372,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:38:56,1424446718992,1,27132,6,p,1,391,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:00,1424446718992,1,30266,7,p,1,436,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:03,1424446718992,1,33349,8,p,1,421,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:06,1424446718992,1,37949,9,p,1,333,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:11,1424446718992,1,40866,10,p,1,439,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:14,1424446718992,1,43900,11,p,1,439,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:17,1424446718992,1,48331,12,p,1,440,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:21,1424446718992,1,53416,13,p,1,353,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:26,1424446718992,1,57816,14,p,1,381,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:31,1424446718992,1,60982,15,p,1,412,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:34,1424446718992,1,64766,16,p,1,351,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:38,1424446718992,1,69566,17,p,1,363,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:43,1424446718992,1,74882,18,p,1,352,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:48,1424446718992,1,79499,19,p,1,425,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:52,1424446718992,1,82716,20,p,1,512,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:39:56,1424446718992,1,86949,21,p,1,377,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:40:00,1424446718992,1,89699,22,p,1,414,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:40:03,1424446718992,1,96398,23,p,0,,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:40:09,1424446718992,1,100349,24,p,1,447,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:40:13,1424446718992,1,104749,25,p,1,364,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:40:18,1424446718992,1,108414,26,p,1,330,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:40:21,1424446718992,1,111599,27,p,1,362,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:40:25,1424446718992,1,116383,28,p,1,383,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:40:29,1424446718992,1,120184,29,p,1,391,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:40:33,1424446718992,1,124383,30,p,1,378,,393.344827586,383,41.0872554642
SI_102,2015-02-20,16:40:37,1424446718992,1,125643,31,p,0,,,393.344827586,383,41.0872554642
