id,date,time,t0,t0_absolute,order_of_test,time_start_battery,order_in_test,stimuli_type,response,reaction_time,false_responses,average_reaction_time,median_reaction_time,reaction_time_standard_deviation
SI_288,2016-05-20,21:49:39,,,1,9814,1,p,1,598,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:49:43,,,1,17742,2,p,1,3508,1,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:49:51,,,1,21552,3,p,1,776,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:49:55,,,1,24424,4,p,1,732,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:49:58,,,1,28270,5,p,1,736,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:02,,,1,32613,6,p,1,806,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:06,,,1,38171,7,p,1,616,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:12,,,1,42559,8,p,1,1496,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:16,,,1,48285,9,p,1,971,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:22,,,1,53735,10,p,1,638,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:27,,,1,58816,11,p,1,961,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:32,,,1,63316,12,p,1,992,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:37,,,1,68385,13,p,1,1280,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:42,,,1,71863,14,p,1,963,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:45,,,1,76520,15,p,1,792,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:50,,,1,79686,16,p,1,997,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:53,,,1,84438,17,p,1,598,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:50:58,,,1,87698,18,p,1,781,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:51:01,,,1,92652,19,p,1,707,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:51:06,,,1,99265,20,p,1,3280,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:51:13,,,1,104755,21,p,1,893,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:51:18,,,1,109032,22,p,1,413,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:51:22,,,1,114357,23,p,1,1311,1,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:51:28,,,1,120142,24,p,1,1032,,1078.20833333,849.5,755.609859026
SI_288,2016-05-20,21:51:34,,,1,125678,25,p,0,,,1078.20833333,849.5,755.609859026
